name,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999
TotalAssets,"8,603,569,000","7,731,170,000","7,854,427,000","7,031,373,000","6,166,799,000","5,382,858,000","4,948,289,000","4,525,133,000","4,499,391,000","4,693,303,000","4,879,603,000","4,819,124,000","4,471,338,000","3,988,688,000","3,828,082,000","2,934,421,000","3,291,460,000","1,897,020,000","1,362,235,000","1,117,391,000","856,945,000","705,888,000","538,984,000","463,347,000","250,090,000"
	CurrentAssets,"4,464,140,000","3,955,151,000","4,261,772,000","3,669,351,000","3,057,850,000","2,665,368,000","2,346,138,000","2,263,016,000","2,211,087,000","2,510,976,000","2,595,636,000","2,536,120,000","2,574,837,000","2,498,755,000","2,396,079,000","1,984,425,000","2,332,775,000","1,169,084,000","801,167,000","636,971,000","539,928,000","472,999,000","359,564,000","388,021,000","193,427,000"
		CashCashEquivalentsAndShortTermInvestments,"1,968,070,000","1,452,482,000","1,846,038,000","1,846,084,000","1,404,030,000","1,384,721,000","1,053,175,000","1,113,835,000","1,048,231,000","1,364,257,000","1,329,011,000","1,384,263,000","1,398,313,000","1,285,354,000","1,111,164,000","709,221,000","745,240,000","410,354,000","366,402,000","314,276,000","327,456,000","330,104,000","233,677,000","251,731,000","104,079,000"
			CashAndCashEquivalents,"1,693,452,000","1,279,194,000","1,498,058,000","1,458,442,000","1,027,567,000","1,201,732,000","891,488,000","846,883,000","833,070,000","1,196,268,000","1,179,149,000","1,231,180,000","1,287,160,000","1,260,936,000","1,091,581,000","696,335,000","707,689,000","337,321,000","334,352,000","249,909,000","274,329,000","216,768,000","192,842,000","251,731,000","104,079,000"
			OtherShortTermInvestments,"274,618,000","173,288,000","347,980,000","387,642,000","376,463,000","182,989,000","161,687,000","266,952,000","215,161,000","167,989,000","149,862,000","153,083,000","111,153,000","24,418,000","19,583,000","12,886,000","37,551,000","73,033,000","32,050,000","64,367,000","53,127,000","113,336,000","40,835,000",,
		Receivables,"815,243,000","656,847,000","843,445,000","849,469,000","706,763,000","569,833,000","590,882,000","527,062,000","531,481,000","570,191,000","701,965,000","603,673,000","607,450,000","747,249,000","874,110,000","741,321,000","952,513,000","403,524,000","170,997,000","110,119,000","82,718,000","58,278,000","47,998,000","32,719,000","31,353,000"
			AccountsReceivable,"815,243,000","656,847,000","843,445,000","849,469,000","706,763,000","569,833,000","590,882,000","527,062,000","531,481,000","570,191,000","564,586,000","603,673,000","607,450,000","747,249,000","874,110,000","741,321,000","952,513,000","403,524,000","170,997,000","110,119,000","82,718,000","58,278,000","47,998,000","32,719,000",
				GrossAccountsReceivable,"822,395,000","661,945,000","850,525,000","860,555,000","713,517,000","575,320,000","595,050,000","541,731,000","545,286,000","588,521,000","584,953,000","624,255,000","637,674,000",,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-7,152,000","-5,098,000","-7,080,000","-11,086,000","-6,754,000","-5,487,000","-4,168,000","-14,669,000","-13,805,000","-18,330,000","-20,367,000","-20,582,000","-30,224,000",,,,,,,,,,,,
			LoansReceivable,,,,,,,,,,"0","137,379,000","0",,,,,,,,,,,,,
		Inventory,"1,345,955,000","1,515,045,000","1,227,609,000","762,084,000","752,908,000","561,840,000","517,644,000","484,821,000","500,554,000","420,475,000","382,226,000","389,931,000","397,741,000","387,577,000","309,938,000","425,312,000","505,467,000","271,008,000","199,841,000","154,980,000","96,794,000","57,507,000","61,132,000","89,855,000","51,248,000"
			RawMaterials,"493,493,000","600,858,000","509,435,000","282,287,000","260,070,000","205,696,000","179,659,000","152,497,000","203,173,000","161,444,000","131,408,000","119,142,000","129,211,000","103,277,000","80,963,000","151,132,000","130,056,000",,"65,348,000","69,036,000","45,388,000","24,177,000","26,381,000",,
			WorkInProcess,"160,919,000","180,873,000","213,801,000","147,821,000","133,157,000","96,564,000","75,754,000","61,048,000","69,690,000","53,824,000","50,110,000","53,656,000","52,176,000","43,507,000","32,587,000","28,759,000","57,622,000",,"27,845,000","29,959,000","12,551,000","10,936,000","9,582,000",,
			FinishedGoods,"691,543,000","733,314,000","504,373,000","331,976,000","359,681,000","259,580,000","262,231,000","271,276,000","273,762,000","244,282,000","229,089,000","243,238,000","245,724,000","278,513,000","235,286,000","268,625,000","348,975,000",,"121,404,000","67,274,000","50,340,000","31,818,000","34,723,000",,
			OtherInventories,,,,,,,,,,,,,,,,,,,,,,"-9,424,000",,,
			InventoriesAdjustmentsAllowances,,,,,,,,"-40,452,000","-46,071,000","-39,075,000","-28,381,000","-26,105,000","-29,370,000","-37,720,000","-38,898,000","-23,204,000","-31,186,000",,"-14,756,000","-11,289,000","-11,485,000",,"-9,554,000",,
		PrepaidAssets,,,"328,719,000","191,569,000","169,044,000","120,512,000","153,912,000","89,903,000","81,645,000","48,615,000","55,243,000","35,520,000","77,630,000","24,894,000","34,156,000","58,746,000","22,179,000","55,996,000","34,312,000","19,069,000","6,148,000","4,490,000","2,921,000",,
		CurrentDeferredAssets,"16,316,000","14,862,000","15,961,000","20,145,000","25,105,000","28,462,000","30,525,000","47,395,000","49,176,000","107,438,000","127,191,000","122,733,000","93,703,000","53,681,000","66,711,000","49,825,000","107,376,000","28,202,000","29,615,000","38,527,000","26,812,000","22,620,000","13,836,000",,
			CurrentDeferredTaxesAssets,,,,,,,,,,"56,102,000","69,823,000","68,785,000","53,670,000","33,628,000","61,397,000","49,825,000","107,376,000","28,202,000","29,615,000","38,527,000","26,812,000","22,620,000","13,836,000",,
		OtherCurrentAssets,"318,556,000","315,915,000","328,719,000","191,569,000","169,044,000","120,512,000","153,912,000","89,903,000","81,645,000","48,615,000","55,243,000","35,520,000","77,630,000",,,,,,,,,,,"13,716,000","6,747,000"
	TotalNonCurrentAssets,"4,139,429,000","3,776,019,000","3,592,655,000","3,362,022,000","3,108,949,000","2,717,490,000","2,602,151,000","2,262,117,000","2,288,304,000","2,182,327,000","2,283,967,000","2,283,004,000","1,896,501,000","1,489,933,000","1,432,003,000","949,996,000","958,685,000","727,936,000","561,068,000","480,420,000","317,017,000","232,889,000","179,420,000","75,326,000","56,663,000"
		NetPPE,"1,367,821,000","1,285,045,000","1,156,935,000","950,165,000","792,510,000","663,527,000","595,684,000","482,878,000","446,089,000","430,887,000","414,848,000","409,751,000","417,105,000","427,805,000","441,338,000","445,252,000","374,147,000","250,988,000","179,173,000","171,630,000","104,784,000","74,440,000","70,086,000","64,704,000","55,851,000"
			GrossPPE,"2,398,409,000","2,189,967,000","1,977,563,000","1,682,443,000","1,469,586,000","1,273,494,000","1,162,157,000","979,859,000","908,649,000","859,596,000","796,280,000","759,738,000","711,368,000","677,709,000","640,309,000","593,404,000","482,995,000","339,484,000","246,508,000","223,031,000","146,099,000","106,491,000","95,267,000","84,804,000","70,106,000"
				Properties,"0","0","0","0","0","0","0","0","0","0","0","0","0","18,437,000","15,247,000","14,698,000","13,104,000","0","0","0","0","0","0",,
				LandAndImprovements,"201,287,000","193,861,000","206,895,000","124,654,000","112,267,000","131,689,000","114,701,000","104,740,000","85,162,000","94,245,000","98,324,000","97,427,000","95,570,000","94,792,000","92,088,000","88,272,000","79,445,000","37,103,000","31,075,000","30,931,000","21,168,000","20,517,000","20,414,000",,
				BuildingsAndImprovements,"934,837,000","856,722,000","763,654,000","662,753,000","597,387,000","539,177,000","482,794,000","376,916,000","351,778,000","324,710,000","300,820,000","284,534,000","277,624,000","274,163,000","268,011,000","244,804,000","204,083,000","158,873,000","106,470,000","101,031,000","59,044,000","33,952,000","32,864,000",,
				MachineryFurnitureEquipment,"1,118,561,000","1,001,344,000","917,557,000","800,410,000","696,343,000","285,809,000","423,341,000","373,224,000","358,019,000","337,949,000","300,956,000","286,960,000","257,166,000","290,317,000","264,963,000","245,630,000","186,363,000","143,508,000","108,963,000","91,069,000","65,887,000","52,022,000","41,989,000",,
				OtherProperties,"143,724,000","138,040,000","89,457,000","94,626,000","63,589,000","316,819,000","141,321,000","124,979,000","113,690,000","102,692,000","96,180,000","90,817,000","81,008,000",,,,,,,,"2,424,000",,,,
			AccumulatedDepreciation,"-1,030,588,000","-904,922,000","-820,628,000","-732,278,000","-677,076,000","-609,967,000","-566,473,000","-496,981,000","-462,560,000","-428,709,000","-381,432,000","-349,987,000","-294,263,000","-249,904,000","-198,971,000","-148,152,000","-108,848,000","-88,496,000","-67,335,000","-51,401,000","-41,315,000","-32,051,000","-25,181,000","-20,100,000","-14,255,000"
		GoodwillAndOtherIntangibleAssets,"795,075,000","746,455,000","791,073,000","828,566,000","659,629,000","417,080,000","409,801,000","305,002,000","245,552,000","218,083,000","219,494,000","232,597,000","246,646,000","185,152,000","213,660,000","230,954,000","196,030,000","67,580,000","35,866,000","49,485,000","42,311,000","24,479,000","16,985,000","4,774,000","737,000"
			Goodwill,"608,474,000","567,994,000","575,080,000","584,210,000","467,108,000","301,017,000","286,982,000","224,553,000","187,791,000","178,638,000","179,290,000","176,059,000","179,475,000",,,,,,,,,,,,
			OtherIntangibleAssets,"186,601,000","178,461,000","215,993,000","244,356,000","192,521,000","116,063,000","122,819,000","80,449,000","57,761,000","39,445,000","40,204,000","56,538,000","67,171,000","185,152,000","213,660,000","230,954,000","196,030,000","67,580,000","35,866,000","49,485,000","42,311,000","24,479,000","16,985,000","4,774,000","737,000"
		InvestmentsAndAdvances,"1,125,191,000","1,208,360,000","1,268,698,000","1,131,175,000","1,205,475,000","1,330,123,000","1,260,033,000","1,213,285,000","1,343,387,000","1,407,344,000","1,502,106,000","1,488,312,000","1,097,002,000","777,401,000","746,464,000","263,950,000","386,954,000",,,,,,,,
			InvestmentinFinancialAssets,"1,125,191,000","1,208,360,000","1,268,698,000","1,131,175,000","1,205,475,000","1,330,123,000","1,260,033,000","1,213,285,000","1,343,387,000","1,407,344,000","1,502,106,000","1,488,312,000","1,097,002,000",,,,,,,,,,,,
				AvailableForSaleSecurities,"1,125,191,000","1,208,360,000","1,268,698,000","1,131,175,000","1,205,475,000","1,330,123,000","1,260,033,000","1,213,285,000","1,343,387,000","1,407,344,000","1,502,106,000","1,488,312,000","1,097,002,000",,,,,,,,,,,,
		NonCurrentDeferredAssets,"765,692,000","450,902,000","272,566,000","261,965,000","292,011,000","206,432,000","229,010,000","166,444,000","155,287,000","103,852,000","129,481,000","136,279,000","129,460,000","73,613,000","20,498,000","9,840,000",,,,,,,,,
			NonCurrentDeferredTaxesAssets,"754,635,000","441,071,000","260,205,000","245,455,000","268,518,000","176,959,000","195,981,000","110,293,000","116,518,000","67,712,000","88,324,000","93,920,000","88,637,000","73,613,000","20,498,000","9,840,000",,,,,,,,,
		OtherNonCurrentAssets,"85,650,000","85,257,000","103,383,000","190,151,000","159,324,000","100,328,000","107,623,000","94,508,000","97,989,000","22,161,000","18,038,000","16,065,000","6,288,000","25,962,000","10,043,000","1,941,000","1,554,000","409,368,000","346,029,000","308,790,000","169,922,000","133,970,000","92,349,000","5,848,000","75,000"
TotalLiabilitiesNetMinorityInterest,"1,591,509,000","1,526,830,000","1,740,268,000","1,515,257,000","1,373,303,000","1,219,884,000","1,095,870,000","1,107,130,000","1,154,265,000","1,289,936,000","1,219,897,000","1,287,328,000","1,214,757,000","939,126,000","991,635,000","708,567,000","940,846,000","339,121,000","204,971,000","181,534,000","107,255,000","103,389,000","85,015,000","98,108,000","55,491,000"
	CurrentLiabilities,"1,310,687,000","1,211,635,000","1,448,148,000","1,164,217,000","1,035,933,000","921,313,000","792,115,000","782,735,000","865,998,000","1,033,261,000","905,304,000","909,026,000","858,279,000","669,037,000","685,876,000","479,176,000","801,883,000","337,682,000","195,485,000","176,267,000","104,434,000","81,178,000","55,857,000","42,041,000","27,686,000"
		PayablesAndAccruedExpenses,"1,209,498,000","1,120,543,000","1,360,494,000","1,077,352,000","941,371,000","824,941,000","688,975,000","636,171,000","701,016,000","811,990,000","647,407,000","656,319,000","663,510,000","574,526,000","655,758,000","478,496,000","801,883,000","226,746,000","132,331,000","82,633,000","60,696,000","32,446,000","18,837,000","22,496,000","15,402,000"
			Payables,"809,276,000","774,443,000","967,525,000","743,051,000","643,432,000","570,197,000","402,055,000","373,553,000","464,171,000","579,444,000","420,094,000","395,195,000","365,623,000","237,664,000","271,470,000","214,410,000","449,644,000","88,375,000","76,516,000","53,673,000","40,671,000","32,446,000","18,837,000","22,496,000","15,402,000"
				AccountsPayable,"253,790,000","212,417,000","370,048,000","258,885,000","240,831,000","204,985,000","169,640,000","172,404,000","178,905,000","149,094,000","146,582,000","131,263,000","164,010,000","132,348,000","203,388,000","160,094,000","341,053,000","88,375,000","76,516,000","53,673,000","40,671,000","32,446,000","18,837,000","22,496,000","15,402,000"
				TotalTaxPayable,"225,475,000","246,180,000","128,083,000","68,585,000","56,913,000","51,642,000","33,638,000","16,163,000","21,674,000","182,260,000","38,043,000","32,031,000","77,784,000","56,028,000","22,846,000","20,075,000","76,895,000",,,,,,,,
					IncomeTaxPayable,"225,475,000","246,180,000","128,083,000","68,585,000","56,913,000","51,642,000","33,638,000","16,163,000","21,674,000","182,260,000","38,043,000","32,031,000","77,784,000","56,028,000","22,846,000","20,075,000","76,895,000",,,,,,,,
				DividendsPayable,"139,997,000","139,732,000","258,023,000","233,644,000","217,262,000","200,483,000","95,975,000","96,168,000","192,991,000","185,326,000","175,675,000","175,932,000","77,865,000",,,,,,,,,,,,
				OtherPayable,"190,014,000","176,114,000","211,371,000","181,937,000","128,426,000","113,087,000","102,802,000","88,818,000","70,601,000","62,764,000","59,794,000","55,969,000","45,964,000","49,288,000","45,236,000","34,241,000","31,696,000",,,,,,,,
			CurrentAccruedExpenses,"400,222,000","346,100,000","392,969,000","334,301,000","297,939,000","254,744,000","286,920,000","262,618,000","236,845,000","232,546,000","227,313,000","261,124,000","297,887,000","336,862,000","384,288,000","264,086,000","352,239,000","138,371,000","55,815,000","28,960,000","20,025,000",,"10,262,000",,
		PensionandOtherPostRetirementBenefitPlansCurrent,,,,,,,,,,,,,"45,964,000",,,,,,,,,,,,
		CurrentDebtAndCapitalLeaseObligation,,,,,,,,,,,,,,,,,,,,,,,"4,177,000","587,000","5,000"
			CurrentDebt,,,,,,,,,,,,,,,,,,,,,,,"4,177,000","587,000","5,000"
		CurrentDeferredLiabilities,"101,189,000","91,092,000","87,654,000","86,865,000","94,562,000","96,372,000","103,140,000","146,564,000","164,982,000","221,271,000","257,897,000","252,707,000","194,769,000","94,511,000","30,118,000","680,000",,,,,,,,,
			CurrentDeferredTaxesLiabilities,,,,,,,,,"0","17,673,000","989,000","332,000","5,782,000","4,800,000","2,208,000",,,,,,,,,,
			CurrentDeferredRevenue,"101,189,000","91,092,000","87,654,000","86,865,000","94,562,000","96,372,000","103,140,000","146,564,000","164,982,000","203,598,000","256,908,000","252,375,000","188,987,000","89,711,000","27,910,000","680,000",,,,,,,,,
		OtherCurrentLiabilities,,,,,,,,,,,,,,,,,"108,590,000","110,936,000","63,154,000","93,634,000","43,738,000","48,732,000","32,843,000","18,958,000","12,279,000"
	TotalNonCurrentLiabilitiesNetMinorityInterest,"280,822,000","315,195,000","292,120,000","351,040,000","337,370,000","298,571,000","303,755,000","324,395,000","288,267,000","256,675,000","314,593,000","378,302,000","356,478,000","270,089,000","305,759,000","229,391,000","138,963,000","1,439,000","9,486,000","5,267,000","2,821,000","22,211,000","29,158,000","56,067,000","27,805,000"
		LongTermDebtAndCapitalLeaseObligation,"113,035,000","114,541,000","70,044,000","75,958,000","49,238,000","0",,,,,,,,,,,,"248,000",,,,"20,000,000","28,011,000","46,359,000","27,715,000"
			LongTermDebt,,,,,,,,,,,,,,,,,,"248,000",,,,"20,000,000","28,011,000","46,359,000","27,715,000"
			LongTermCapitalLeaseObligation,"113,035,000","114,541,000","70,044,000","75,958,000","49,238,000","0",,,,,,,,,,,,,,,,,,,
		NonCurrentDeferredLiabilities,"150,830,000","165,667,000","159,213,000","166,778,000","182,083,000","169,510,000","163,672,000","201,627,000","184,941,000","174,627,000","172,770,000","195,514,000","193,083,000","115,062,000","48,744,000","228,276,000","11,935,000","1,191,000","9,486,000","5,267,000","2,821,000","2,211,000","1,147,000","9,616,000",
			NonCurrentDeferredTaxesLiabilities,"114,682,000","129,965,000","117,595,000","116,844,000","114,754,000","92,944,000","76,612,000","61,220,000","56,210,000","39,497,000","1,758,000","2,467,000","4,951,000","6,986,000","10,170,000","228,276,000","11,935,000","1,191,000","9,486,000","5,267,000","2,821,000","2,211,000","1,147,000","9,616,000",
			NonCurrentDeferredRevenue,"36,148,000","35,702,000","41,618,000","49,934,000","67,329,000","76,566,000","87,060,000","140,407,000","128,731,000","135,130,000","171,012,000","193,047,000","188,132,000","108,076,000","38,574,000","0",,,,,,,,,
		TradeandOtherPayablesNonCurrent,"16,521,000","34,627,000","62,539,000","92,810,000","105,771,000","127,211,000","138,295,000","121,174,000","101,689,000","80,611,000","140,933,000","181,754,000","161,904,000",,,,,,,,,,,,
		OtherNonCurrentLiabilities,"436,000","360,000","324,000","15,494,000","278,000","1,850,000","1,788,000","1,594,000","1,637,000","1,437,000","890,000","1,034,000","1,491,000","155,027,000","257,015,000","1,115,000","127,028,000",,,,,,,"92,000","90,000"
TotalEquityGrossMinorityInterest,"7,012,060,000","6,204,340,000","6,114,159,000","5,516,116,000","4,793,496,000","4,162,974,000","3,852,419,000","3,418,003,000","3,345,126,000","3,403,367,000","3,659,706,000","3,531,796,000","3,256,581,000","3,049,562,000","2,836,447,000","2,225,854,000","2,350,614,000","1,557,899,000","1,157,264,000","935,857,000","749,690,000","602,499,000","453,969,000","365,239,000","194,599,000"
	StockholdersEquity,"7,012,060,000","6,204,340,000","6,114,159,000","5,516,116,000","4,793,496,000","4,162,974,000","3,852,419,000","3,418,003,000","3,345,126,000","3,403,367,000","3,659,706,000","3,531,796,000","3,256,581,000","3,049,562,000","2,836,447,000","2,225,854,000","2,350,614,000","1,557,899,000","1,157,264,000","935,857,000","749,690,000","602,499,000","453,969,000","365,239,000","194,599,000"
		CapitalStock,"19,588,000","17,979,000","17,979,000","17,979,000","17,979,000","17,979,000","17,979,000","17,979,000","1,797,435,000","1,797,435,000","1,797,435,000","1,797,435,000","1,797,435,000","1,797,435,000","1,001,000","1,002,000","1,086,000","1,082,000","1,081,000","1,084,000","1,082,000","1,080,000","1,078,000","1,082,000","1,000,000"
			CommonStock,"19,588,000","17,979,000","17,979,000","17,979,000","17,979,000","17,979,000","17,979,000","17,979,000","1,797,435,000","1,797,435,000","1,797,435,000","1,797,435,000","1,797,435,000","1,797,435,000","1,001,000","1,002,000","1,086,000","1,082,000","1,081,000","1,084,000","1,082,000","1,080,000","1,078,000","1,082,000","1,000,000"
		AdditionalPaidInCapital,"2,125,467,000","2,042,472,000","1,960,722,000","1,880,354,000","1,835,622,000","1,823,638,000","1,828,386,000","1,836,047,000","62,239,000","73,521,000","79,263,000","72,462,000","61,869,000","38,268,000","32,221,000","0","132,264,000","83,438,000","96,242,000","108,949,000","104,022,000","129,431,000","127,131,000","133,925,000","29,593,000"
		RetainedEarnings,"5,263,528,000","4,733,517,000","4,320,737,000","3,754,372,000","3,229,061,000","2,710,619,000","2,418,444,000","2,056,702,000","1,930,517,000","1,859,972,000","1,865,587,000","1,604,625,000","1,413,582,000","1,264,613,000","2,816,607,000","2,262,503,000","2,171,134,000","1,478,655,000","1,072,454,000","815,209,000","663,604,000","507,884,000","365,087,000","253,140,000","176,431,000"
		TreasuryStock,"330,909,000","475,095,000","303,114,000","320,016,000","345,040,000","397,692,000","468,818,000","455,964,000","414,637,000","330,132,000","120,620,000","81,280,000","103,498,000","106,758,000","0",,,,,,,,,,
		GainsLossesNotAffectingRetainedEarnings,"-65,614,000","-114,533,000","117,835,000","183,427,000","55,874,000","8,430,000","56,428,000","-36,761,000","-30,428,000","2,571,000","38,041,000","138,554,000","87,193,000","56,004,000","-13,382,000","-37,651,000","46,130,000","-5,275,000","-12,513,000","10,615,000","-19,018,000","-35,896,000","-39,327,000","-22,908,000","-12,425,000"
			ForeignCurrencyTranslationAdjustments,"-11,508,000","-25,981,000","123,415,000",,,,,,,,,,,,,,,,,,,,,,
			OtherEquityAdjustments,"-54,106,000","-88,552,000","-5,580,000","183,427,000","55,874,000","8,430,000","56,428,000","-36,761,000","-30,428,000","2,571,000","38,041,000","138,554,000","87,193,000",,,,,,,,,,,,
		OtherEquityInterest,,,,,,,,,,,,,,,,,,"-1,000",,,,,,,
TotalCapitalization,"7,012,060,000","6,204,340,000","6,114,159,000","5,516,116,000","4,793,496,000","4,162,974,000","3,852,419,000","3,418,003,000","3,345,126,000","3,403,367,000","3,659,706,000","3,531,796,000","3,256,581,000","3,049,562,000","2,836,447,000","2,225,854,000","2,350,614,000","1,558,147,000","1,157,264,000","935,857,000","749,690,000","622,499,000","481,980,000","411,598,000","222,314,000"
CommonStockEquity,"7,012,060,000","6,204,340,000","6,114,159,000","5,516,116,000","4,793,496,000","4,162,974,000","3,852,419,000","3,418,003,000","3,345,126,000","3,403,367,000","3,659,706,000","3,531,796,000","3,256,581,000","3,049,562,000","2,836,447,000","2,225,854,000","2,350,614,000","1,557,899,000","1,157,264,000","935,857,000","749,690,000","602,499,000","453,969,000","365,239,000","194,599,000"
CapitalLeaseObligations,"113,035,000","114,541,000","70,044,000","75,958,000","49,238,000","0",,,,,,,,,,,,,,,,,,,
NetTangibleAssets,"6,216,985,000","5,457,885,000","5,323,086,000","4,687,550,000","4,133,867,000","3,745,894,000","3,442,618,000","3,113,001,000","3,099,574,000","3,185,284,000","3,440,212,000","3,299,199,000","3,009,935,000","2,864,410,000","2,622,787,000","1,994,900,000","2,154,584,000","1,490,319,000","1,121,398,000","935,857,000","707,379,000","578,020,000","436,984,000","360,465,000","193,862,000"
WorkingCapital,"3,153,453,000","2,743,516,000","2,813,624,000","2,505,134,000","2,021,917,000","1,744,055,000","1,554,023,000","1,480,281,000","1,345,089,000","1,477,715,000","1,690,332,000","1,627,094,000","1,716,558,000","1,829,718,000","1,710,203,000","1,505,249,000","1,530,892,000","831,402,000","605,682,000","460,704,000","435,494,000","391,821,000","303,707,000","345,980,000","165,741,000"
InvestedCapital,"7,012,060,000","6,204,340,000","6,114,159,000","5,516,116,000","4,793,496,000","4,162,974,000","3,852,419,000","3,418,003,000","3,345,126,000","3,403,367,000","3,659,706,000","3,531,796,000","3,256,581,000","3,049,562,000","2,836,447,000","2,225,854,000","2,350,614,000","1,558,147,000","1,157,264,000","935,857,000","749,690,000","622,499,000","486,157,000","412,185,000","222,319,000"
TangibleBookValue,"6,216,985,000","5,457,885,000","5,323,086,000","4,687,550,000","4,133,867,000","3,745,894,000","3,442,618,000","3,113,001,000","3,099,574,000","3,185,284,000","3,440,212,000","3,299,199,000","3,009,935,000","2,864,410,000","2,622,787,000","1,994,900,000","2,154,584,000","1,490,319,000","1,121,398,000","935,857,000","707,379,000","578,020,000","436,984,000","360,465,000","193,862,000"
TotalDebt,"113,035,000","114,541,000","70,044,000","75,958,000","49,238,000","0",,,,,,,,,,,,"248,000",,,,"20,000,000","32,188,000","46,946,000","27,720,000"
ShareIssued,"195,880,000","198,077,000","198,077,000","191,571,000","198,077,418","198,077,418","198,077,000","198,077,000","208,077,000","208,077,000","208,077,418","208,077,418","208,077,418","208,077,418","200,274,000","200,596,000","216,980,000","216,098,000","216,134,000","216,654,000","216,332,000","215,839,532","215,549,836","216,484,222","215,750,000"
OrdinarySharesNumber,"191,777,000","191,623,000","192,608,000","191,571,000","190,686,000","189,461,000","188,189,000","188,565,000","189,722,000","191,815,000","195,150,102","195,591,854","194,662,617","194,358,038","200,274,000","200,596,000","216,980,000","216,098,000","216,134,000","216,654,000","216,332,000","215,839,532","215,549,836","216,484,222","215,750,000"
TreasurySharesNumber,"4,103,000","6,454,000","5,469,000",,"7,391,418","8,616,418","9,888,000","9,512,000","18,355,000","16,262,000","12,927,316","12,485,564","13,414,801","13,719,380",,,,,,,,,,,