name,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000
TotalAssets,"21,778,000,000","22,039,000,000","20,059,000,000","20,807,000,000","23,199,000,000","22,547,000,000","20,687,000,000","20,469,000,000","20,863,000,000","22,354,047,000","22,724,264,000","22,163,652,000","22,244,123,000","21,044,308,000","20,572,106,000","17,144,113,000","11,466,517,000","7,126,458,000","3,879,739,000","3,601,478,000","1,917,035,000","1,606,762,000","1,363,555,000","1,327,050,000"
	CurrentAssets,"5,777,000,000","6,744,000,000","5,510,000,000","5,707,000,000","5,305,000,000","5,566,000,000","3,197,000,000","3,098,000,000","3,609,000,000","5,190,499,000","5,515,539,000","4,477,514,000","5,397,152,000","4,058,907,000","5,623,674,000","3,741,276,000","1,379,086,000","1,093,557,000","644,706,000","1,405,126,000","272,739,000","212,239,000",,
		CashCashEquivalentsAndShortTermInvestments,"5,105,000,000","6,311,000,000","1,854,000,000","2,082,000,000","4,226,000,000","4,648,000,000","2,419,000,000","2,128,000,000","2,179,000,000","3,506,319,000","3,600,414,000","2,512,766,000","3,902,718,000","3,037,081,000","4,955,416,000","3,038,163,000","857,150,000","468,066,000","456,846,000","1,294,898,000","152,793,000","106,483,000",,
			CashAndCashEquivalents,"5,105,000,000","6,311,000,000","1,854,000,000","2,082,000,000","4,226,000,000","4,648,000,000","2,419,000,000","2,128,000,000","2,179,000,000","3,506,319,000","3,600,414,000","2,512,766,000","3,902,718,000","3,037,081,000","4,955,416,000","3,038,163,000","857,150,000","468,066,000","456,846,000","1,294,898,000","152,793,000","106,483,000",,
		Receivables,"484,000,000","267,000,000","202,000,000","252,000,000","844,000,000","726,000,000","615,000,000","776,000,000","1,268,000,000","1,510,772,000","1,762,110,000","1,819,260,000","1,336,817,000","716,919,000","460,766,000","384,819,000","187,195,000","173,683,000","84,778,000","56,582,000","54,197,000","53,536,000",,
			AccountsReceivable,"484,000,000","267,000,000","202,000,000","252,000,000","844,000,000","726,000,000","615,000,000","776,000,000","1,268,000,000","1,510,772,000","1,762,110,000","1,819,260,000","1,336,817,000","716,919,000","460,766,000","384,819,000","187,195,000","173,683,000","84,778,000","56,582,000","54,197,000","53,536,000",,
				GrossAccountsReceivable,"685,000,000","484,000,000","434,000,000","507,000,000","1,126,000,000","1,050,000,000","1,057,000,000","1,352,000,000","1,904,000,000","2,184,057,000","2,391,837,000","2,310,942,000","1,611,883,000",,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-201,000,000","-217,000,000","-232,000,000","-255,000,000","-282,000,000","-324,000,000","-442,000,000","-576,000,000","-636,000,000","-673,285,000","-629,727,000","-491,682,000","-275,066,000",,,,,,,,,,,
		Inventory,"38,000,000","28,000,000","22,000,000","22,000,000","37,000,000","35,000,000","37,000,000","46,000,000","43,000,000","41,674,000","41,946,000","43,875,000","34,990,000","32,260,000","27,073,000","28,837,000","19,902,000","12,291,000","9,967,000","8,010,000","6,251,000","5,226,000",,
		PrepaidAssets,,"138,000,000","113,000,000","113,000,000","182,000,000","144,000,000","115,000,000","138,000,000","111,000,000","125,168,000","104,230,000","94,793,000","45,607,000","46,726,000","35,336,000","71,670,000","49,424,000","25,067,000","13,452,000","11,797,000","3,843,000","5,510,000",,
		RestrictedCash,,"0","16,000,000","16,000,000","16,000,000","13,000,000","11,000,000","10,000,000","8,000,000","6,566,000","6,839,000","4,521,000","4,828,000",,"118,641,000","194,816,000","232,944,000","398,762,000","71,717,000","20,528,000",,,,
		CurrentDeferredAssets,,,,,,,,,,,"0","2,299,000","72,192,000","61,606,000","26,442,000","22,971,000","32,471,000","15,688,000","7,946,000","13,311,000","0",,,
			CurrentDeferredTaxesAssets,,,,,,,,,,,"0","2,299,000","72,192,000","61,606,000","26,442,000","22,971,000","32,471,000","15,688,000","7,946,000","13,311,000","0",,,
		AssetsHeldForSaleCurrent,,"0","3,303,000,000","3,222,000,000",,,,,,,,,,,,,,,,,,,,
		OtherCurrentAssets,"150,000,000","138,000,000","113,000,000","113,000,000","182,000,000","144,000,000","115,000,000","138,000,000","111,000,000","125,168,000","104,230,000","94,793,000","45,607,000","164,315,000","118,641,000",,,,,,"55,655,000","41,484,000",,
	TotalNonCurrentAssets,"16,001,000,000","15,295,000,000","14,549,000,000","15,100,000,000","17,894,000,000","16,981,000,000","17,490,000,000","17,371,000,000","17,254,000,000","17,163,548,000","17,208,725,000","17,686,138,000","16,846,971,000","16,985,401,000","14,948,432,000","13,402,837,000","10,087,431,000","6,032,901,000","3,235,033,000","2,196,352,000","1,644,296,000","1,394,523,000",,
		NetPPE,"13,688,000,000","13,579,000,000","14,016,000,000","14,536,000,000","17,116,000,000","16,352,000,000","16,753,000,000","17,113,000,000","16,994,000,000","16,725,564,000","16,787,772,000","17,225,489,000","16,421,447,000","15,901,037,000","14,561,091,000","12,968,166,000","8,574,614,000","4,582,325,000","2,600,468,000","1,756,090,000","1,484,670,000","1,246,607,000",,
			GrossPPE,"25,581,000,000","24,462,000,000","24,033,000,000","23,703,000,000","27,613,000,000","26,041,000,000","25,648,000,000","24,936,000,000","23,819,000,000","22,700,184,000","21,905,844,000","21,403,027,000","19,688,149,000","18,232,909,000","16,216,716,000","14,059,030,000","9,182,397,000","5,052,989,000","2,965,718,000","2,026,274,000","1,484,670,000","1,246,607,000",,
				Properties,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,,,
				LandAndImprovements,"3,528,000,000","3,208,000,000","3,194,000,000","3,245,000,000","3,404,000,000","2,283,000,000","2,312,000,000","2,190,000,000","2,139,000,000","2,196,066,000","2,239,451,000","2,195,728,000","2,001,781,000","410,758,000","353,791,000","341,927,000","297,678,000","207,144,000","202,285,000","170,056,000",,,,
				BuildingsAndImprovements,"16,211,000,000","15,494,000,000","14,840,000,000","14,235,000,000","17,662,000,000","17,861,000,000","17,703,000,000","17,478,000,000","15,309,000,000","15,187,427,000","15,226,566,000","14,414,026,000","11,456,407,000","10,881,936,000","6,898,071,000","6,309,494,000","4,435,934,000","1,622,783,000","1,454,462,000","1,239,291,000",,,,
				MachineryFurnitureEquipment,"5,351,000,000","4,637,000,000","4,486,000,000","4,322,000,000","5,040,000,000","4,713,000,000","4,454,000,000","4,174,000,000","3,738,000,000","3,520,137,000","3,289,478,000","2,968,742,000","2,552,482,000","2,393,625,000","2,107,048,000","1,869,455,000","1,190,035,000","528,882,000","351,219,000","297,287,000",,,,
				ConstructionInProgress,"491,000,000","1,123,000,000","1,513,000,000","1,901,000,000","1,507,000,000","1,184,000,000","1,179,000,000","1,094,000,000","2,633,000,000","1,796,554,000","1,150,349,000","1,824,531,000","3,677,479,000","3,147,750,000","5,647,986,000","4,438,216,000","3,258,750,000","2,694,180,000","957,752,000","319,640,000",,,,
				Leases,,,,,,,,,,,,,,"1,398,840,000","1,209,820,000","1,099,938,000",,,,,,,,
			AccumulatedDepreciation,"-11,893,000,000","-10,883,000,000","-10,017,000,000","-9,167,000,000","-10,497,000,000","-9,689,000,000","-8,895,000,000","-7,823,000,000","-6,825,000,000","-5,974,620,000","-5,118,072,000","-4,177,538,000","-3,266,702,000","-2,331,872,000","-1,655,625,000","-1,090,864,000","-607,783,000","-470,664,000","-365,250,000","-270,184,000",,,,
		GoodwillAndOtherIntangibleAssets,"598,000,000","64,000,000","19,000,000","25,000,000","42,000,000","72,000,000","89,000,000","103,000,000","71,000,000","86,260,000","102,081,000","70,618,000","80,068,000","89,805,000","50,129,000",,,,,,,,,
			Goodwill,"103,000,000","10,000,000",,,,,,,,,,,,,,,,,,,,,,
			OtherIntangibleAssets,"495,000,000","54,000,000","19,000,000","25,000,000","42,000,000","72,000,000","89,000,000","103,000,000","71,000,000","86,260,000","102,081,000","70,618,000","80,068,000","89,805,000","50,129,000",,,,,,,,,
		NonCurrentNoteReceivables,"1,194,000,000","1,165,000,000","0",,,,,,,,,,,,,,,,,,,,,
		NonCurrentDeferredAssets,"121,000,000","131,000,000","297,000,000","318,000,000","282,000,000","368,000,000","493,000,000","0","24,000,000","229,672,000","199,785,000","257,745,000","173,789,000","165,801,000","160,673,000","202,965,000",,,"11,332,000","425,000","0",,,
			NonCurrentDeferredTaxesAssets,"121,000,000","131,000,000","297,000,000","318,000,000","282,000,000","368,000,000","493,000,000","0","24,000,000","24,076,000","13,821,000","43,280,000","153,000","10,423,000","22,219,000","44,189,000",,,"11,332,000","425,000","0",,,
		OtherNonCurrentAssets,"400,000,000","356,000,000","217,000,000","221,000,000","454,000,000","189,000,000","155,000,000","155,000,000","165,000,000","122,052,000","119,087,000","132,286,000","171,667,000","828,758,000","176,539,000","231,706,000","1,512,817,000","1,450,576,000","623,233,000","439,837,000","159,626,000","147,916,000",,
TotalLiabilitiesNetMinorityInterest,"17,674,000,000","18,383,000,000","17,811,000,000","17,269,000,000","16,692,000,000","15,802,000,000","13,060,000,000","12,973,000,000","12,445,000,000","13,333,465,000","13,223,735,000","13,505,240,000","12,804,971,000","13,113,120,000","13,631,519,000","12,718,932,000","9,206,243,000","5,051,304,000","2,270,201,000","2,285,477,000","1,754,927,000","1,506,378,000","1,251,368,000","1,223,456,000"
	CurrentLiabilities,"4,422,000,000","3,902,000,000","2,565,000,000","2,816,000,000","3,224,000,000","3,157,000,000","2,956,000,000","2,806,000,000","2,464,000,000","2,699,972,000","3,129,665,000","2,622,823,000","2,498,706,000","2,600,413,000","1,839,305,000","1,530,416,000","1,493,273,000","734,648,000","460,368,000","612,560,000","223,366,000","161,494,000",,
		PayablesAndAccruedExpenses,"1,979,000,000","1,400,000,000","1,200,000,000","1,485,000,000","2,572,000,000","2,370,000,000","2,088,000,000","2,131,000,000","1,938,000,000","2,135,650,000","2,288,299,000","2,136,666,000","1,788,189,000","1,833,345,000","1,665,990,000","1,415,793,000","721,399,000","378,435,000","289,111,000","213,088,000","174,755,000","152,944,000",,
			Payables,"963,000,000","547,000,000","479,000,000","660,000,000","1,147,000,000","1,014,000,000","951,000,000","1,016,000,000","992,000,000","957,306,000","1,107,543,000","1,042,296,000","930,901,000","630,486,000","861,466,000","807,748,000","99,023,000","51,038,000","34,803,000","33,383,000","63,643,000","56,366,000",,
				AccountsPayable,"167,000,000","89,000,000","77,000,000","89,000,000","149,000,000","178,000,000","171,000,000","128,000,000","111,000,000","112,721,000","119,194,000","106,498,000","104,113,000","113,505,000","82,695,000","71,035,000","99,023,000","51,038,000","34,803,000","33,383,000","16,679,000","15,071,000",,
				TotalTaxPayable,"650,000,000","269,000,000","175,000,000","235,000,000","664,000,000","647,000,000","628,000,000","504,000,000","517,000,000","573,656,000","746,789,000","592,426,000","466,879,000",,,,,,,,,,,
					IncomeTaxPayable,"261,000,000","135,000,000","32,000,000","87,000,000","275,000,000","244,000,000","261,000,000","192,000,000","198,000,000","224,201,000","176,678,000","164,126,000","108,060,000",,,,,,,,,,,
				OtherPayable,"146,000,000","189,000,000","227,000,000","336,000,000","334,000,000","189,000,000","152,000,000","384,000,000","364,000,000","270,929,000","241,560,000","343,372,000","359,909,000","516,981,000","778,771,000","736,713,000",,,,,"46,964,000","41,295,000",,
			CurrentAccruedExpenses,"1,016,000,000","853,000,000","721,000,000","825,000,000","1,425,000,000","1,356,000,000","1,137,000,000","1,115,000,000","946,000,000","1,178,344,000","1,180,756,000","1,094,370,000","857,288,000","1,202,859,000","804,524,000","608,045,000","622,376,000","327,397,000","254,308,000","179,705,000","111,112,000","96,578,000",,
				InterestPayable,"184,000,000","189,000,000","157,000,000","179,000,000","165,000,000","115,000,000",,,"1,863,000","7,943,000","6,551,000","15,542,000","31,668,000","42,625,000","18,332,000","14,750,000",,,,,,,,
		CurrentDebtAndCapitalLeaseObligation,"1,900,000,000","2,031,000,000","74,000,000","75,000,000","70,000,000","111,000,000","296,000,000","167,000,000","95,000,000","99,734,000","377,507,000","97,802,000","455,846,000","767,068,000","173,315,000","114,623,000","54,333,000","6,486,000","7,325,000","304,864,000","41,379,000","8,550,000",,
			CurrentDebt,"1,900,000,000","2,031,000,000","74,000,000","75,000,000","70,000,000","111,000,000","296,000,000","167,000,000","95,000,000","99,734,000","377,507,000","97,802,000","455,846,000","767,068,000","173,315,000","114,623,000","54,333,000","6,486,000","7,325,000","304,864,000","41,379,000","8,550,000",,
		CurrentDeferredLiabilities,"543,000,000","471,000,000","470,000,000","501,000,000","582,000,000","676,000,000","572,000,000","508,000,000","431,000,000","464,588,000","463,859,000","388,355,000","254,671,000",,,,,,,,,,,
			CurrentDeferredTaxesLiabilities,,,,,,,,,,"12,522,000","13,309,000","0",,,,,,,,,,,,
			CurrentDeferredRevenue,"543,000,000","471,000,000","470,000,000","501,000,000","582,000,000","676,000,000","572,000,000","508,000,000","431,000,000","464,588,000","450,550,000","388,355,000","254,671,000",,,,,,,,,,,
		OtherCurrentLiabilities,,,"821,000,000","755,000,000",,,,,,,,,,,,"736,713,000","717,541,000","349,727,000","163,932,000","94,608,000","7,232,000",,,
	TotalNonCurrentLiabilitiesNetMinorityInterest,"13,252,000,000","14,481,000,000","15,246,000,000","14,453,000,000","13,468,000,000","12,645,000,000","10,104,000,000","10,167,000,000","9,981,000,000","10,633,493,000","10,094,070,000","10,882,417,000","10,306,265,000","10,512,707,000","11,792,214,000","11,188,516,000","7,712,970,000","4,316,656,000","1,809,833,000","1,672,917,000","1,531,561,000","1,344,884,000",,
		LongTermDebtAndCapitalLeaseObligation,"12,129,000,000","13,947,000,000","14,721,000,000","13,929,000,000","12,422,000,000","11,874,000,000","9,344,000,000","9,428,000,000","9,249,000,000","9,892,913,000","9,382,752,000","10,132,265,000","9,577,131,000","9,373,755,000","10,852,147,000","10,356,115,000","7,517,997,000","4,136,152,000","1,625,901,000","1,485,064,000","1,525,116,000","1,343,762,000",,
			LongTermDebt,"12,129,000,000","13,947,000,000","14,721,000,000","13,929,000,000","12,422,000,000","11,874,000,000","9,344,000,000","9,428,000,000","9,249,000,000","9,892,913,000","9,382,752,000","10,132,265,000","9,577,131,000","9,373,755,000","10,852,147,000","10,356,115,000","7,517,997,000","4,136,152,000","1,625,901,000","1,485,064,000","1,525,116,000","1,343,762,000",,
		NonCurrentDeferredLiabilities,"187,000,000","152,000,000","173,000,000","188,000,000","533,000,000","592,000,000","613,000,000","613,000,000","619,000,000","615,966,000","599,123,000","616,216,000","639,689,000","557,333,000","447,274,000","452,435,000","1,553,000","324,000",,,,,,
			NonCurrentDeferredTaxesLiabilities,"187,000,000","152,000,000","173,000,000","188,000,000","183,000,000","191,000,000","206,000,000","200,000,000","202,000,000","193,813,000","173,211,000","185,945,000","205,438,000","115,219,000","0",,"1,553,000","324,000",,,,,,
			NonCurrentDeferredRevenue,,,,"344,000,000","350,000,000","401,000,000","407,000,000","413,000,000","417,000,000","422,153,000","425,912,000","430,271,000","434,251,000","442,114,000","447,274,000","452,435,000",,,,,"0",,,
		PreferredSecuritiesOutsideStockEquity,,,,,,,,,,,,,"0",,"410,834,000","318,289,000",,,,,,,,
		OtherNonCurrentLiabilities,"936,000,000","382,000,000","352,000,000","336,000,000","513,000,000","179,000,000","147,000,000","126,000,000","113,000,000","124,614,000","112,195,000","133,936,000","89,445,000","581,619,000","492,793,000","61,677,000","193,420,000","180,180,000","183,932,000","187,853,000","6,445,000","1,122,000",,
TotalEquityGrossMinorityInterest,"4,104,000,000","3,656,000,000","2,248,000,000","3,538,000,000","6,507,000,000","6,745,000,000","7,627,000,000","7,496,000,000","8,418,000,000","9,020,582,000","9,500,529,000","8,658,412,000","9,439,152,000","7,931,188,000","6,940,587,000","4,425,181,000","2,260,274,000","2,075,154,000","1,609,538,000","1,316,001,000","162,108,000","100,384,000","112,187,000","103,594,000"
	StockholdersEquity,"4,118,000,000","3,881,000,000","1,996,000,000","2,973,000,000","5,187,000,000","5,684,000,000","6,486,000,000","6,177,000,000","6,817,000,000","7,213,586,000","7,665,494,000","7,061,842,000","7,850,689,000","6,662,991,000","5,850,699,000","4,422,108,000","2,260,274,000","2,075,154,000","1,609,538,000","1,316,001,000","162,108,000","100,384,000","112,187,000","103,594,000"
		CapitalStock,"1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","829,000","827,000","824,000","733,000","711,443,000","646,101,000","298,708,000","355,000","354,000","354,000","354,000","325,000","123,000",,
			PreferredStock,"0","0","0","0","0","0","0","0",,,,,"0","710,735,000","645,441,000","298,066,000",,,,,,,,
			CommonStock,"1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","829,000","827,000","824,000","733,000","708,000","660,000","642,000","355,000","354,000","354,000","354,000","325,000","123,000",,
		AdditionalPaidInCapital,"6,481,000,000","6,684,000,000","6,646,000,000","6,611,000,000","6,569,000,000","6,680,000,000","6,580,000,000","6,516,000,000","6,485,000,000","6,428,762,000","6,348,065,000","6,237,488,000","5,610,160,000","5,444,705,000","5,114,851,000","3,090,292,000","1,064,878,000","990,429,000","964,660,000","956,385,000","155,607,000","159,286,000",,
		RetainedEarnings,"2,600,000,000","1,684,000,000","-148,000,000","813,000,000","3,101,000,000","2,770,000,000","2,709,000,000","2,222,000,000","2,840,000,000","2,945,846,000","1,713,339,000","560,452,000","2,145,692,000","880,703,000","473,833,000","1,015,554,000","1,197,534,000","1,084,951,000","642,948,000","359,262,000","8,289,000","-58,345,000",,
		TreasuryStock,"4,991,000,000","4,481,000,000","4,481,000,000","4,481,000,000","4,481,000,000","3,727,000,000","2,818,000,000","2,443,000,000","2,443,000,000","2,237,952,000","570,520,000","0",,,,,,,,,,,,
		GainsLossesNotAffectingRetainedEarnings,"27,000,000","-7,000,000","-22,000,000","29,000,000","-3,000,000","-40,000,000","14,000,000","-119,000,000","-66,000,000","76,101,000","173,783,000","263,078,000","94,104,000","129,519,000","26,748,000","17,554,000","-2,493,000","-580,000","1,576,000",,,,,
			OtherEquityAdjustments,"27,000,000","-7,000,000","-22,000,000","29,000,000","-3,000,000","-40,000,000","14,000,000","-119,000,000","-66,000,000","76,101,000","173,783,000","263,078,000","94,104,000",,,,,,,,,,,
		OtherEquityInterest,,,,,,,,,,,,,,"-503,379,000","-410,834,000",,,,,,"-2,113,000","-680,000",,
	MinorityInterest,"-14,000,000","-225,000,000","252,000,000","565,000,000","1,320,000,000","1,061,000,000","1,141,000,000","1,319,000,000","1,601,000,000","1,806,996,000","1,835,035,000","1,596,570,000","1,588,463,000","1,268,197,000","1,089,888,000","3,073,000",,,,,,,,
TotalCapitalization,"16,247,000,000","17,828,000,000","16,717,000,000","16,902,000,000","17,609,000,000","17,558,000,000","15,830,000,000","15,605,000,000","16,066,000,000","17,106,499,000","17,048,246,000","17,194,107,000","17,427,820,000","16,036,746,000","16,702,846,000","14,778,223,000","9,778,271,000","6,211,306,000","3,235,439,000","2,801,065,000","1,687,224,000","1,444,146,000","112,187,000","103,594,000"
PreferredStockEquity,,,,,,,,,,,,,,"710,735,000","645,441,000","298,066,000",,,,,,,,
CommonStockEquity,"4,118,000,000","3,881,000,000","1,996,000,000","2,973,000,000","5,187,000,000","5,684,000,000","6,486,000,000","6,177,000,000","6,817,000,000","7,213,586,000","7,665,494,000","7,061,842,000","7,850,689,000","5,952,256,000","5,205,258,000","4,124,042,000","2,260,274,000","2,075,154,000","1,609,538,000","1,316,001,000","162,108,000","100,384,000","112,187,000","103,594,000"
NetTangibleAssets,"3,520,000,000","3,817,000,000","1,977,000,000","2,948,000,000","5,145,000,000","5,612,000,000","6,397,000,000","6,074,000,000","6,746,000,000","7,127,326,000","7,563,413,000","6,991,224,000","7,770,621,000","6,573,186,000","5,800,570,000","4,422,108,000","2,260,274,000","2,075,154,000","1,609,538,000","1,316,001,000","162,108,000","100,384,000","112,187,000","103,594,000"
WorkingCapital,"1,355,000,000","2,842,000,000","2,945,000,000","2,891,000,000","2,081,000,000","2,409,000,000","241,000,000","292,000,000","1,145,000,000","2,490,527,000","2,385,874,000","1,854,691,000","2,898,446,000","1,458,494,000","3,784,369,000","2,210,860,000","-114,187,000","358,909,000","184,338,000","792,566,000","49,373,000","50,745,000",,
InvestedCapital,"18,147,000,000","19,859,000,000","16,791,000,000","16,977,000,000","17,679,000,000","17,669,000,000","16,126,000,000","15,772,000,000","16,161,000,000","17,206,233,000","17,425,753,000","17,291,909,000","17,883,666,000","16,093,079,000","16,230,720,000","14,594,780,000","9,832,604,000","6,217,792,000","3,242,764,000","3,105,929,000","1,728,603,000","1,452,696,000","112,187,000","103,594,000"
TangibleBookValue,"3,520,000,000","3,817,000,000","1,977,000,000","2,948,000,000","5,145,000,000","5,612,000,000","6,397,000,000","6,074,000,000","6,746,000,000","7,127,326,000","7,563,413,000","6,991,224,000","7,770,621,000","5,862,451,000","5,155,129,000","4,124,042,000","2,260,274,000","2,075,154,000","1,609,538,000","1,316,001,000","162,108,000","100,384,000","112,187,000","103,594,000"
TotalDebt,"14,029,000,000","15,978,000,000","14,795,000,000","14,004,000,000","12,492,000,000","11,985,000,000","9,640,000,000","9,595,000,000","9,344,000,000","9,992,647,000","9,760,259,000","10,230,067,000","10,032,977,000","10,140,823,000","11,025,462,000","10,470,738,000","7,572,330,000","4,142,638,000","1,633,226,000","1,789,928,000","1,566,495,000","1,352,312,000",,
NetDebt,"8,924,000,000","9,667,000,000","12,941,000,000","11,922,000,000","8,266,000,000","7,337,000,000","7,221,000,000","7,467,000,000","7,165,000,000","6,486,328,000","6,159,845,000","7,717,301,000","6,130,259,000","7,103,742,000","6,070,046,000","7,432,575,000","6,715,180,000","3,674,572,000","1,176,380,000","495,030,000","1,413,702,000","1,245,829,000",,
ShareIssued,"833,000,000","833,000,000","833,000,000","833,000,000","833,000,000","832,000,000","831,000,000","830,000,000","830,051,259","829,280,328","827,273,217","824,297,756","733,249,698","707,507,982","660,322,749","652,831,025","355,271,070","354,492,452","354,179,580","354,160,692","354,160,692","354,160,692","354,160,692","354,160,692"
OrdinarySharesNumber,"753,000,000","764,000,000","764,000,000","764,000,000","764,000,000","775,000,000","789,000,000","795,000,000","794,645,310","798,258,172","818,702,936","824,297,756","733,249,698","707,507,982","660,322,749","652,831,025","355,271,070","354,492,452","354,179,580","354,160,692","354,160,692","354,160,692","354,160,692","354,160,692"
PreferredSharesNumber,,,,,,,,,,,,,,"3,614,923","4,089,999","5,196,300",,,,,,,,
TreasurySharesNumber,"80,000,000","69,000,000","69,000,000","69,000,000","69,000,000","57,000,000","42,000,000","35,000,000","35,405,949","31,022,156","8,570,281",,,,,,,,,,,,,