name,01/31/2024,01/31/2023,01/31/2022,01/31/2021,01/31/2020,01/31/2019,01/31/2018,01/31/2017,01/31/2016,01/31/2015,01/31/2014,01/31/2013,01/31/2012,01/31/2011,01/31/2010,01/31/2009,01/31/2008,01/31/2007,01/31/2006,01/31/2004,01/31/2003
TotalAssets,"5,707,011,000","5,370,411,000","4,764,379,000","5,089,969,000","4,863,872,000","3,191,172,000","2,908,687,000","2,551,878,000","2,230,918,000","1,983,170,000","1,602,727,000","1,275,249,000","957,217,000","730,488,000","553,635,000","568,932,000","469,413,000","338,597,000","282,615,000","206,420,000","195,059,000"
	CurrentAssets,"2,836,518,000","2,709,304,000","2,281,183,000","2,514,777,000","2,055,317,000","1,914,861,000","1,693,743,000","1,536,237,000","1,375,173,000","1,260,355,000","1,002,697,000","789,324,000","580,232,000","404,389,000","262,774,000","276,708,000","228,944,000","172,046,000","145,451,000",,
		CashCashEquivalentsAndShortTermInvestments,"766,594,000","737,877,000","431,560,000","1,046,051,000","502,325,000","409,251,000","397,445,000","415,010,000","475,840,000","539,358,000","419,476,000","320,475,000","253,738,000","111,185,000","4,017,000","3,638,000","3,789,000","3,645,000","2,839,000","3,178,000","2,628,000"
			CashAndCashEquivalents,"766,594,000","737,877,000","431,560,000","1,046,051,000","392,325,000","409,251,000","277,445,000","385,010,000","345,840,000","389,149,000","419,476,000","320,475,000","253,738,000","111,185,000","4,017,000","3,638,000","3,789,000","3,645,000","2,839,000","3,178,000","2,628,000"
				CashFinancial,"677,004,000","651,367,000","165,122,000","887,299,000","212,876,000",,,,,,,,,,,,,,,,
				CashEquivalents,"89,590,000","86,510,000","266,438,000","158,752,000","179,449,000",,,,,,,,,,,,,,,,
			OtherShortTermInvestments,,,,"0","110,000,000","0","120,000,000","30,000,000","130,000,000","150,209,000","0",,,,,,,,,,
		Receivables,"207,939,000","199,422,000","233,682,000","193,109,000","139,337,000","136,168,000","99,719,000","88,631,000","64,992,000","52,440,000","47,049,000","41,515,000","26,153,000","22,292,000","13,477,000","18,268,000","20,643,000","18,476,000","15,757,000",,
			AccountsReceivable,,"199,422,000","233,682,000","193,109,000","139,337,000","136,168,000","99,719,000","88,631,000","64,992,000","52,440,000","47,049,000","41,515,000","26,153,000","22,292,000",,,"20,643,000","18,476,000","15,757,000",,
			OtherReceivables,"207,939,000","199,422,000","234,687,000",,,,,,,,,,,,,,,,,,
			ReceivablesAdjustmentsAllowances,,"-1,076,000","-1,005,000",,,,,,,,,,,,,,,,,,
		Inventory,"1,742,136,000","1,603,451,000","1,499,218,000","1,168,215,000","1,293,701,000","1,214,329,000","1,096,424,000","943,975,000","761,793,000","581,229,000","457,933,000","361,125,000","244,647,000","218,516,000","206,948,000","213,602,000","176,109,000","129,237,000","109,374,000",,
			FinishedGoods,"1,742,136,000","1,603,451,000","1,499,218,000","1,168,215,000","1,293,701,000","1,214,329,000","1,096,424,000","943,975,000","761,793,000","581,229,000","457,933,000","361,125,000","244,647,000","218,516,000",,,,,,,
		PrepaidAssets,"69,653,000","99,017,000","54,517,000","0","16,387,000","16,997,000","1,489,000","0","72,548,000","66,548,000","55,993,000","50,452,000","43,430,000","10,684,000","30,272,000","32,922,000","19,184,000","15,276,000","14,942,000",,
		CurrentDeferredAssets,"24,583,000","34,900,000","23,379,000",,,,,,,"20,780,000","22,246,000","15,757,000","12,264,000","8,922,000","8,060,000","8,278,000","9,219,000","5,412,000","2,539,000",,
			CurrentDeferredTaxesAssets,,,,,,,,,,"20,780,000","22,246,000","15,757,000","12,264,000","8,922,000","8,060,000","8,278,000","9,219,000","5,412,000","2,539,000",,
		OtherCurrentAssets,"25,613,000","34,637,000","38,827,000","107,402,000","103,567,000","138,116,000","98,666,000","88,621,000","72,548,000","66,548,000","55,993,000","50,452,000","43,430,000","32,790,000",,,,,,,
	TotalNonCurrentAssets,"2,870,493,000","2,661,107,000","2,483,196,000","2,575,192,000","2,808,555,000","1,276,311,000","1,214,944,000","1,015,641,000","855,745,000","722,815,000","600,030,000","485,925,000","376,985,000","326,099,000","290,861,000","292,224,000","240,469,000","166,551,000","137,164,000",,
		NetPPE,"2,756,865,000","2,570,536,000","2,396,732,000","2,500,409,000","2,743,089,000","1,226,029,000","1,189,453,000","1,004,358,000","847,600,000","717,159,000","595,736,000","483,059,000","376,985,000","326,099,000","290,861,000","292,224,000","236,389,000","162,080,000","133,003,000","99,577,000","85,180,000"
			GrossPPE,"4,768,559,000","4,424,442,000","4,115,267,000","4,072,430,000","4,103,405,000","2,375,136,000","2,148,661,000","1,803,117,000","1,501,955,000","1,243,249,000","1,022,656,000","838,390,000","673,354,000","579,799,000","516,507,000","469,623,000","377,138,000","279,490,000","227,149,000","99,577,000","85,180,000"
				Properties,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,
				BuildingsAndImprovements,,,,,,,,,,,,,,,,,"149,022,000","119,750,000","100,447,000",,
				MachineryFurnitureEquipment,"1,297,428,000","1,147,870,000","1,118,312,000","1,083,509,000","1,073,764,000","994,668,000","834,931,000","708,754,000","556,499,000","447,782,000","390,650,000","323,069,000","256,479,000","223,663,000","284,922,000","252,535,000","197,800,000","152,734,000","120,490,000",,
				OtherProperties,"2,348,971,000","2,224,760,000","2,091,990,000","2,154,217,000","2,133,888,000","544,618,000","485,368,000","437,262,000","353,940,000","272,937,000","218,979,000","169,997,000","126,790,000","105,808,000",,,,,,,
				ConstructionInProgress,"193,260,000","196,117,000","91,897,000","52,668,000","92,355,000","50,574,000","122,419,000","49,411,000","75,804,000","90,531,000","36,231,000","37,700,000","33,598,000","16,331,000","12,268,000","18,081,000","30,316,000","7,006,000","6,212,000",,
				Leases,"928,900,000","855,695,000","813,068,000","782,036,000","803,398,000","785,276,000","705,943,000","607,690,000","515,712,000","431,999,000","376,796,000","307,624,000","256,487,000","233,997,000","219,317,000","199,007,000",,,,,
			AccumulatedDepreciation,"-2,011,694,000","-1,853,906,000","-1,718,535,000","-1,572,021,000","-1,360,316,000","-1,149,107,000","-959,208,000","-798,759,000","-654,355,000","-526,090,000","-426,920,000","-355,331,000","-296,369,000","-253,700,000","-225,646,000","-177,399,000","-140,749,000","-117,410,000","-94,146,000",,
		GoodwillAndOtherIntangibleAssets,"11,380,000","12,182,000","12,408,000","13,335,000","14,261,000","15,187,000","0",,,,,,,,,,,,,,
			Goodwill,"10,870,000","10,870,000","10,870,000","10,870,000","10,870,000","10,870,000","0",,,,,,,,,,,,,,
			OtherIntangibleAssets,"510,000","1,312,000","1,538,000","2,465,000","3,391,000","4,317,000",,,,,,,,,,,,,,,
		NonCurrentDeferredAssets,"83,185,000","63,922,000","38,409,000","33,223,000","27,849,000","20,511,000","16,827,000","11,283,000","8,145,000","5,656,000","4,294,000","2,866,000","0",,,"0","4,080,000","4,125,000","3,962,000",,
			NonCurrentDeferredTaxesAssets,,,,,,,,,,,,,,,,"0","4,080,000","4,125,000","3,962,000",,
		OtherNonCurrentAssets,"19,063,000","14,467,000","35,647,000","28,225,000","23,356,000","14,584,000","8,664,000",,,,,,,,,,,"346,000","199,000",,
TotalLiabilitiesNetMinorityInterest,"3,427,683,000","3,410,600,000","3,229,006,000","3,090,420,000","2,961,778,000","1,370,954,000","1,134,470,000","1,001,660,000","788,032,000","735,661,000","599,633,000","488,307,000","372,513,000","327,955,000","261,027,000","323,964,000","257,910,000","189,837,000","159,600,000","113,642,000","107,700,000"
	CurrentLiabilities,"1,658,191,000","1,681,775,000","1,558,010,000","1,343,713,000","1,137,261,000","823,736,000","642,166,000","529,343,000","396,227,000","359,594,000","266,811,000","221,067,000","164,855,000","163,357,000","126,357,000","117,013,000","111,905,000","83,941,000","68,978,000",,
		PayablesAndAccruedExpenses,"937,779,000","1,003,805,000","930,313,000","815,915,000","660,097,000","624,682,000","529,030,000","529,343,000","396,227,000","359,594,000","266,811,000","221,067,000","164,855,000","163,357,000","126,357,000","99,013,000","111,905,000","83,941,000","68,978,000",,
			Payables,"612,101,000","618,377,000","608,980,000","556,368,000","453,060,000","436,101,000","368,165,000","293,372,000","229,362,000","228,006,000","176,419,000","138,931,000","98,063,000","95,936,000","67,168,000","47,811,000","52,122,000","43,071,000","34,435,000",,
				AccountsPayable,"544,001,000","559,527,000","552,730,000","477,052,000","414,009,000","404,016,000","325,758,000","259,518,000","196,174,000","190,778,000","148,282,000","118,886,000","86,442,000","87,093,000","56,387,000","47,811,000","52,122,000","43,071,000","34,435,000",,
				TotalTaxPayable,"68,100,000","58,850,000","56,250,000","79,316,000","39,051,000","32,085,000","42,407,000","33,854,000","33,188,000","37,228,000","28,137,000","20,045,000","11,621,000","8,843,000","10,781,000","0",,,,,
					IncomeTaxPayable,"11,310,000","0","12,786,000","42,529,000","0","0","14,101,000","8,971,000","12,702,000","19,404,000","15,349,000","10,054,000","4,002,000","0","10,781,000","0",,,,,
			CurrentAccruedExpenses,"325,678,000","385,428,000","321,333,000","259,547,000","207,037,000","188,581,000","160,865,000","235,971,000","166,865,000","131,588,000","90,392,000","82,136,000","66,792,000","67,421,000","59,189,000","51,202,000","59,783,000","40,870,000","34,543,000",,
		CurrentDebtAndCapitalLeaseObligation,"283,821,000","283,293,000","274,118,000","253,415,000","239,629,000",,,,,,,,,,,"18,000,000",,,,,
			CurrentDebt,,,,,,,,,,,,,,,,"18,000,000",,,,,
				CurrentNotesPayable,,,,,,,,,,,,,,,"0","18,000,000",,,,,
			CurrentCapitalLeaseObligation,"283,821,000","283,293,000","274,118,000","253,415,000","239,629,000","0",,,,,,,,,,,,,,,
		CurrentDeferredLiabilities,"436,591,000","394,677,000","353,579,000","274,383,000","237,535,000","199,054,000","113,136,000",,,,,,,,,,,,,,
			CurrentDeferredRevenue,"436,591,000","394,677,000","353,579,000","274,383,000","237,535,000","199,054,000","113,136,000",,,,,,,,,,,,,,
	TotalNonCurrentLiabilitiesNetMinorityInterest,"1,769,492,000","1,728,825,000","1,670,996,000","1,746,707,000","1,824,517,000","547,218,000","492,304,000","472,317,000","391,805,000","376,067,000","332,822,000","267,240,000","207,658,000","164,598,000","134,670,000","206,951,000","146,005,000","105,896,000","90,622,000",,
		LongTermDebtAndCapitalLeaseObligation,"1,627,271,000","1,619,883,000","1,572,638,000","1,643,386,000","1,698,718,000","0",,,,,,,,,,"88,047,000","74,770,000","50,737,000","45,381,000",,
			LongTermDebt,,,,,,,,,,,,,,,,"88,047,000","74,770,000","50,737,000","45,381,000",,
			LongTermCapitalLeaseObligation,"1,627,271,000","1,619,883,000","1,572,638,000","1,643,386,000","1,698,718,000","0",,,,,,,,,,,,,,,
		NonCurrentDeferredLiabilities,"85,921,000","55,346,000","39,693,000","65,359,000","89,367,000","518,844,000","467,319,000","452,689,000","381,316,000","368,625,000","328,348,000","264,364,000","207,658,000","164,598,000","134,670,000","118,904,000",,,,,
			NonCurrentDeferredTaxesLiabilities,"85,921,000","55,346,000","39,693,000","65,359,000","89,367,000","83,864,000","59,403,000","86,498,000","59,527,000","74,498,000","66,718,000","56,361,000","44,195,000","30,026,000","20,952,000","17,616,000",,,,,
			NonCurrentDeferredRevenue,,,,,,,,,,,,,,"134,572,000","113,718,000","101,288,000",,,,,
		PreferredSecuritiesOutsideStockEquity,,,,,,,,,,,,,,,,,,"4,792,000","4,792,000",,
		OtherNonCurrentLiabilities,"56,300,000","53,596,000","58,665,000","37,962,000","36,432,000","28,374,000","24,985,000","19,628,000","10,489,000","7,442,000","4,474,000","2,876,000",,,,,"71,235,000","50,367,000","40,449,000",,
TotalEquityGrossMinorityInterest,"2,279,328,000","1,959,811,000","1,535,373,000","1,999,549,000","1,902,094,000","1,820,218,000","1,774,217,000","1,550,218,000","1,442,886,000","1,247,509,000","1,003,094,000","786,942,000","584,704,000","402,533,000","292,608,000","244,968,000","211,503,000","148,760,000","123,015,000","92,778,000","87,359,000"
	StockholdersEquity,"2,279,328,000","1,959,811,000","1,535,373,000","1,999,549,000","1,902,094,000","1,820,218,000","1,774,217,000","1,550,218,000","1,442,886,000","1,247,509,000","1,003,094,000","786,942,000","584,704,000","402,533,000","292,608,000","244,968,000","211,503,000","148,760,000","123,015,000","92,778,000","87,359,000"
		CapitalStock,"491,000","511,000","530,000","569,000","573,000","592,000","614,000","627,000","641,000","647,000","647,000","645,000","627,000","606,000","586,000","582,000","574,000","223,164,000","208,534,000",,
			PreferredStock,,,,,,,,,,,,,,,,,,"223,047,000","208,463,000",,
			CommonStock,"491,000","511,000","530,000","569,000","573,000","592,000","614,000","627,000","641,000","647,000","647,000","645,000","627,000","606,000","586,000","582,000","574,000","117,000","71,000",,
		AdditionalPaidInCapital,"1,075,104,000","1,023,997,000","934,945,000","847,303,000","807,492,000","738,671,000","698,917,000","658,330,000","621,715,000","576,982,000","548,194,000","496,930,000","404,698,000","339,576,000","300,701,000","293,052,000","284,951,000","15,501,000","6,533,000",,
		RetainedEarnings,"1,286,765,000","995,773,000","653,376,000","1,189,422,000","1,128,477,000","1,105,863,000","1,093,453,000","905,785,000","832,215,000","679,593,000","462,378,000","296,861,000","186,794,000","66,530,000","-4,500,000","-43,856,000","-69,124,000","-83,240,000","-91,199,000",,
		TreasuryStock,"83,032,000","60,470,000","53,478,000","37,801,000","34,448,000","24,908,000","18,767,000","14,524,000","11,685,000","9,713,000","8,125,000","7,494,000","7,415,000","4,179,000","4,179,000","4,179,000","4,179,000","2,217,000",,,
		GainsLossesNotAffectingRetainedEarnings,,,"0","56,000","0",,,,,,,,,,"0","-631,000","-719,000","-4,448,000","-853,000",,
TotalCapitalization,"2,279,328,000","1,959,811,000","1,535,373,000","1,999,549,000","1,902,094,000","1,820,218,000","1,774,217,000","1,550,218,000","1,442,886,000","1,247,509,000","1,003,094,000","786,942,000","584,704,000","402,533,000","292,608,000","333,015,000","286,273,000","199,497,000","168,396,000","92,778,000","87,359,000"
PreferredStockEquity,,,,,,,,,,,,,,,,,,"223,047,000","208,463,000",,
CommonStockEquity,"2,279,328,000","1,959,811,000","1,535,373,000","1,999,549,000","1,902,094,000","1,820,218,000","1,774,217,000","1,550,218,000","1,442,886,000","1,247,509,000","1,003,094,000","786,942,000","584,704,000","402,533,000","292,608,000","244,968,000","211,503,000","-74,287,000","-85,448,000","92,778,000","87,359,000"
CapitalLeaseObligations,"1,911,092,000","1,903,176,000","1,846,756,000","1,896,801,000","1,938,347,000","0",,,,,,,,,,,,,,,
NetTangibleAssets,"2,267,948,000","1,947,629,000","1,522,965,000","1,986,214,000","1,887,833,000","1,805,031,000","1,774,217,000","1,550,218,000","1,442,886,000","1,247,509,000","1,003,094,000","786,942,000","584,704,000","402,533,000","292,608,000","244,968,000","211,503,000","148,760,000","123,015,000","92,778,000","87,359,000"
WorkingCapital,"1,178,327,000","1,027,529,000","723,173,000","1,171,064,000","918,056,000","1,091,125,000","1,051,577,000","1,006,894,000","978,946,000","900,761,000","735,886,000","568,257,000","415,377,000","241,032,000","136,417,000","159,695,000","117,039,000","88,105,000","76,473,000",,
InvestedCapital,"2,279,328,000","1,959,811,000","1,535,373,000","1,999,549,000","1,902,094,000","1,820,218,000","1,774,217,000","1,550,218,000","1,442,886,000","1,247,509,000","1,003,094,000","786,942,000","584,704,000","402,533,000","292,608,000","351,015,000","286,273,000","-23,550,000","-40,067,000","92,778,000","87,359,000"
TangibleBookValue,"2,267,948,000","1,947,629,000","1,522,965,000","1,986,214,000","1,887,833,000","1,805,031,000","1,774,217,000","1,550,218,000","1,442,886,000","1,247,509,000","1,003,094,000","786,942,000","584,704,000","402,533,000","292,608,000","244,968,000","211,503,000","-74,287,000","-85,448,000","92,778,000","87,359,000"
TotalDebt,"1,911,092,000","1,903,176,000","1,846,756,000","1,896,801,000","1,938,347,000","0",,,,,,,,,,"106,047,000","74,770,000","50,737,000","45,381,000",,
NetDebt,,,,,,,,,,,,,,,,"102,409,000","70,981,000","47,092,000","42,542,000",,
ShareIssued,"49,123,000","51,120,000","53,049,000","56,952,000","57,285,000","59,232,000","61,441,000","62,733,000","64,131,000","64,762,000","64,793,000","64,565,000","62,764,000","60,707,000","58,674,000","58,249,488","56,906,000","56,673,125","56,673,125","56,673,125","56,673,125"
OrdinarySharesNumber,"48,324,000","50,364,000","52,311,000","56,260,000","56,609,000","58,584,000","60,822,000","62,129,000","63,540,000","64,184,000","64,231,000","64,009,000","62,209,000","60,202,000","58,169,000","57,744,488","56,906,000","56,673,125","56,673,125","56,673,125","56,673,125"
TreasurySharesNumber,"799,000","756,000","738,000","692,000","676,000","648,000","619,000","604,000","591,000","578,000","562,000","556,000","555,000","505,000","505,000","505,000",,,,,