name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992
			PaymentForLoans,"-20,860,000,000","-22,835,000,000","-91,808,000,000","-63,203,000,000","-5,229,000,000","-52,771,000,000","-35,921,000,000","-47,950,000,000","-43,477,000,000","-64,524,000,000","-10,609,000,000","-50,990,000,000","-6,621,000,000","-6,774,000,000","-2,550,000,000",,"-69,574,000,000","-177,665,000,000","-107,967,000,000",,"-27,934,000,000",,,,,,,,,,,,
		NetPPEPurchaseAndSale,,,,,,,,,,,"-1,160,000,000","-521,000,000","5,000,000","-1,307,000,000","-987,000,000","-2,240,000,000","-2,098,000,000","-2,143,000,000","-748,000,000","-1,228,000,000","-863,000,000","-209,000,000","-939,000,000","-835,000,000","-642,000,000","-465,000,000","-437,000,000","-888,000,000","-1,183,000,000","-307,000,000","-327,000,000","-4,671,000,000","-287,000,000"
			PurchaseOfPPE,,,,,,,,,,,,,,,,"-2,240,000,000",,"-2,143,000,000",,,,,,,,,,,,,,,
		NetBusinessPurchaseAndSale,,,,,,,,,,,,,,"0","0","31,804,000,000","6,650,000,000","-19,816,000,000","-2,388,000,000","-49,000,000","4,936,000,000","-140,000,000","-110,000,000","-417,000,000",,,,,,,,,
			SaleOfBusiness,,,,,,,,,,,,,,,,"31,804,000,000","6,650,000,000",,,,,,,,,,,,,,,,
		NetOtherInvestingChanges,"-4,576,000,000","-5,258,000,000","-4,612,000,000","-3,479,000,000","-3,489,000,000","-2,974,000,000","-1,986,000,000","8,411,000,000","408,000,000","294,000,000","-2,504,000,000","-488,000,000","-320,000,000","-895,000,000","1,351,000,000","9,249,000,000","-10,185,000,000","5,040,000,000","-2,226,000,000","-3,632,000,000","-89,000,000","-43,799,000,000","-10,774,000,000","28,187,000,000","-27,955,000,000","-21,947,000,000","-33,047,000,000","-7,835,000,000","-12,613,000,000","-19,518,000,000","-11,973,000,000","-16,457,000,000","-11,804,000,000"
FinancingCashFlow,"99,277,000,000","93,345,000,000","-106,039,000,000","291,650,000,000","355,819,000,000","3,377,000,000","53,118,000,000","49,268,000,000","33,153,000,000","48,535,000,000","-12,201,000,000","-95,442,000,000","42,416,000,000","-104,654,000,000","-65,334,000,000","-199,568,000,000","-10,695,000,000","103,412,000,000","53,133,000,000","170,817,000,000","132,864,000,000","51,048,000,000","20,209,000,000","-25,345,000,000","-7,566,000,000","17,913,000,000","36,131,000,000","21,851,000,000","-4,929,000,000","9,981,000,000","1,817,000,000","8,341,000,000","7,136,000,000"
	CashFlowFromContinuingFinancingActivities,"99,277,000,000","93,345,000,000","-106,039,000,000","291,650,000,000","355,819,000,000","3,377,000,000","53,118,000,000","49,268,000,000","33,153,000,000","48,535,000,000","-12,201,000,000","-95,442,000,000","42,416,000,000","-104,654,000,000","-65,334,000,000","-199,568,000,000","-10,695,000,000","103,412,000,000","53,133,000,000","170,817,000,000","132,864,000,000","51,048,000,000","20,209,000,000","-25,345,000,000","-7,566,000,000","17,913,000,000","36,131,000,000","21,851,000,000","-4,929,000,000","9,981,000,000","1,817,000,000","8,341,000,000","7,136,000,000"
		ChangeInFederalFundsAndSecuritiesSoldForRepurchase,"79,479,000,000","88,252,000,000","3,306,000,000","22,006,000,000","5,214,000,000","-21,879,000,000","10,070,000,000","7,024,000,000","-4,000,000,000","-26,986,000,000","3,171,000,000","-95,153,000,000","78,395,000,000","-30,495,000,000","-9,826,000,000","-62,993,000,000","-34,529,000,000","-1,448,000,000","-22,454,000,000","120,914,000,000","35,752,000,000",,,,,,,,,,,,
		NetIssuancePaymentsOfDebt,"6,023,000,000","25,987,000,000","35,034,000,000","34,281,000,000","4,172,000,000","5,630,000,000","-1,246,000,000","12,544,000,000","-20,100,000,000","231,000,000","-17,003,000,000","-3,935,000,000","-107,206,000,000","-100,077,000,000","-90,402,000,000","-159,889,000,000","-24,323,000,000","71,268,000,000","55,405,000,000","44,522,000,000","41,822,000,000","33,542,000,000","15,855,000,000","-27,431,000,000","-18,153,000,000","33,099,000,000","23,166,000,000","26,323,000,000","-3,590,000,000","10,997,000,000","-1,890,000,000","5,678,000,000","3,105,000,000"
			NetLongTermDebtIssuance,"6,615,000,000","20,825,000,000","31,855,000,000","29,849,000,000","9,065,000,000","1,626,000,000","11,232,000,000","4,006,000,000","-16,086,000,000","3,305,000,000","-2,176,000,000","-19,944,000,000","-102,189,000,000","-75,813,000,000","-58,704,000,000","-33,463,000,000","8,710,000,000","38,428,000,000","31,696,000,000","6,851,000,000","4,385,000,000","7,681,000,000","-4,514,000,000","-5,766,000,000","12,373,000,000","9,867,000,000","3,357,000,000","1,083,000,000","4,927,000,000","12,241,000,000","-2,381,000,000","3,720,000,000","221,000,000"
				LongTermDebtIssuance,"65,060,000,000","65,396,000,000","65,910,000,000","76,675,000,000","57,013,000,000","52,420,000,000","64,278,000,000","53,486,000,000","35,537,000,000","43,670,000,000","51,573,000,000","45,658,000,000","22,200,000,000","26,001,000,000","52,215,000,000","67,744,000,000","43,782,000,000","67,370,000,000","49,464,000,000","21,958,000,000","21,289,000,000","16,963,000,000","10,850,000,000","14,853,000,000","23,451,000,000","17,630,000,000","12,166,000,000","7,823,000,000","11,199,000,000","14,302,000,000","1,198,000,000","4,125,000,000","349,000,000"
				LongTermDebtPayments,"-58,445,000,000","-44,571,000,000","-34,055,000,000","-46,826,000,000","-47,948,000,000","-50,794,000,000","-53,046,000,000","-49,480,000,000","-51,623,000,000","-40,365,000,000","-53,749,000,000","-65,602,000,000","-124,389,000,000","-101,814,000,000","-110,919,000,000","-101,207,000,000","-35,072,000,000","-28,942,000,000","-17,768,000,000","-15,107,000,000","-16,904,000,000","-9,282,000,000","-15,364,000,000","-20,619,000,000","-11,078,000,000","-7,763,000,000","-8,809,000,000","-6,740,000,000","-6,272,000,000","-2,061,000,000","-3,579,000,000","-405,000,000","-128,000,000"
			NetShortTermDebtIssuance,"-592,000,000","5,162,000,000","3,179,000,000","4,432,000,000","-4,893,000,000","4,004,000,000","-12,478,000,000","8,538,000,000","-4,014,000,000","-3,074,000,000","-14,827,000,000","16,009,000,000","-5,017,000,000","-24,264,000,000","-31,698,000,000","-126,426,000,000","-33,033,000,000","32,840,000,000","23,709,000,000","37,671,000,000","37,437,000,000","25,861,000,000","20,369,000,000","-21,665,000,000","-30,526,000,000","23,232,000,000","19,809,000,000","25,240,000,000","-8,517,000,000","-1,244,000,000","491,000,000","1,958,000,000","2,884,000,000"
				ShortTermDebtPayments,,,,,,,,,,,,,,"-24,264,000,000",,,,,,,,,,,,,,,,,,,
		NetCommonStockIssuance,"-7,846,000,000","-4,576,000,000","-5,073,000,000","-25,126,000,000","-7,025,000,000","-28,144,000,000","-20,094,000,000","-12,814,000,000","-5,112,000,000","-2,374,000,000","-1,675,000,000","-3,220,000,000","0","0","0","13,488,000,000","10,127,000,000","-2,672,000,000","-11,242,000,000","-2,919,000,000","-2,574,000,000","-5,796,000,000","-4,834,000,000","-3,595,000,000","-2,962,000,000","-3,700,000,000","-384,000,000","-6,648,000,000","-2,620,000,000","-283,000,000","87,000,000","197,000,000","544,000,000"
			CommonStockIssuance,,,,,,,,,,,,,,"0","0","13,488,000,000","10,127,000,000","1,118,000,000","3,117,000,000","2,846,000,000","3,712,000,000",,,,,,,,,,,,
			CommonStockPayments,"-7,846,000,000","-4,576,000,000","-5,073,000,000","-25,126,000,000","-7,025,000,000","-28,144,000,000","-20,094,000,000","-12,814,000,000","-5,112,000,000","-2,374,000,000","-1,675,000,000","-3,220,000,000","0","0",,"0","0","-3,790,000,000","-14,359,000,000","-5,765,000,000","-6,286,000,000",,,,,,,,,,,,
		NetPreferredStockIssuance,"-1,854,000,000","0","3,772,000,000","198,000,000","1,109,000,000","1,075,000,000","3,000,000","0","2,947,000,000","2,964,000,000","5,957,000,000","-5,453,000,000","667,000,000","5,000,000,000","0","4,244,000,000","34,742,000,000","1,558,000,000","2,580,000,000","0","0",,,,,,,,,,"-94,000,000",,"-10,000,000"
			PreferredStockIssuance,,"0","4,426,000,000","2,169,000,000","2,181,000,000","3,643,000,000","4,515,000,000","0","2,947,000,000","2,964,000,000","5,957,000,000","1,008,000,000","667,000,000","5,000,000,000","0","49,244,000,000","34,742,000,000","1,558,000,000","2,850,000,000","0","0",,,,,,,,,,,,
			PreferredStockPayments,"-1,854,000,000","0","-654,000,000","-1,971,000,000","-1,072,000,000","-2,568,000,000","-4,512,000,000","0","0",,"0","-6,461,000,000","0","0","0","-45,000,000,000","0","0","-270,000,000","0","0",,,,,,,,,,,,
		CashDividendsPaid,"-9,379,000,000","-9,087,000,000","-8,576,000,000","-8,055,000,000","-7,727,000,000","-5,934,000,000","-6,895,000,000","-5,700,000,000","-4,194,000,000","-3,574,000,000","-2,306,000,000","-1,677,000,000","-1,909,000,000","-1,738,000,000","-1,762,000,000","-4,883,000,000","-11,528,000,000","-10,878,000,000","-9,661,000,000","-7,683,000,000","-6,468,000,000","-4,281,000,000","-3,709,000,000","-3,632,000,000","-3,388,000,000","-3,199,000,000","-2,604,000,000","-2,175,000,000","-1,888,000,000","-575,000,000","-527,000,000","-433,000,000","-395,000,000"
			CommonStockDividendPaid,,,,,,"-5,934,000,000","-6,895,000,000","-5,700,000,000","-4,194,000,000","-3,574,000,000","-2,306,000,000","-1,677,000,000","-1,909,000,000","-1,738,000,000","-1,762,000,000",,,,,,,,,,,,,,,,,,
		NetOtherFinancingCharges,"-428,000,000","-717,000,000","-312,000,000","-620,000,000","-601,000,000","-698,000,000","-651,000,000","-397,000,000","-63,000,000","-73,000,000","-10,000,000","-14,000,000","249,000,000","45,000,000","58,000,000","-42,000,000","-14,000,000","216,000,000","165,000,000","-117,000,000","-91,000,000","-72,000,000","-66,000,000","62,000,000","-218,000,000","12,000,000","-523,000,000","-423,000,000","2,902,000,000",,"-20,000,000","4,480,000,000","9,240,000,000"
OtherCashAdjustmentInsideChangeinCash,,,,,,,,,,,,,,,,"394,000,000",,"134,000,000",,,,,,,,,,,,,,,
EndCashPosition,"322,921,000,000","333,073,000,000","230,203,000,000","348,221,000,000","380,463,000,000","161,560,000,000","177,404,000,000","157,434,000,000","147,738,000,000","159,353,000,000","138,589,000,000","131,322,000,000","110,752,000,000","120,102,000,000","108,427,000,000","121,339,000,000","32,857,000,000","42,531,000,000","36,429,000,000","36,999,000,000","28,936,000,000","27,084,000,000","24,973,000,000","26,837,000,000","27,513,000,000","26,989,000,000","28,277,000,000","28,466,000,000","0","0","0","0","0"
	ChangesInCash,"-50,632,000,000","102,940,000,000","-114,895,000,000","-28,834,000,000","216,147,000,000","-15,476,000,000","21,170,000,000","7,591,000,000","-11,855,000,000","21,361,000,000","10,334,000,000","22,433,000,000","-8,619,000,000","12,223,000,000","-13,140,000,000","88,088,000,000","-9,591,000,000","5,968,000,000","-662,000,000","8,149,000,000","1,788,000,000","1,936,000,000","-1,879,000,000","-619,000,000","589,000,000","-1,343,000,000","-221,000,000","-207,000,000","2,488,000,000","-1,134,000,000","1,933,000,000","-122,000,000","516,000,000"
	EffectOfExchangeRateChanges,"-2,289,000,000","-70,000,000","-3,123,000,000","-3,408,000,000","2,756,000,000","-368,000,000","-1,200,000,000","2,105,000,000","240,000,000","-597,000,000","-3,067,000,000","-1,863,000,000","-731,000,000","-548,000,000","228,000,000","394,000,000","-83,000,000","134,000,000","92,000,000","-86,000,000","64,000,000","175,000,000","15,000,000","-57,000,000","-65,000,000","55,000,000","32,000,000","102,000,000","22,000,000",,,,
	BeginningCashPosition,"373,553,000,000","230,203,000,000","348,221,000,000","380,463,000,000","161,560,000,000","177,404,000,000","157,434,000,000","147,738,000,000","159,353,000,000","138,589,000,000","131,322,000,000","110,752,000,000","120,102,000,000","108,427,000,000","121,339,000,000","32,857,000,000","42,531,000,000","36,429,000,000","36,999,000,000","28,936,000,000","27,084,000,000","24,973,000,000","26,837,000,000","27,513,000,000","26,989,000,000","28,277,000,000","28,466,000,000","28,571,000,000","26,061,000,000","9,582,000,000","7,649,000,000","7,771,000,000","7,255,000,000"
	OtherCashAdjustmentOutsideChangeinCash,,,,,,,,,,,,,,,,"-394,000,000",,"-134,000,000",,,,,,,,,"-28,277,000,000","-10,586,000,000","-28,571,000,000","-8,448,000,000","-9,582,000,000","-7,649,000,000","-7,771,000,000"
IncomeTaxPaidSupplementalData,,"3,405,000,000","2,288,000,000","2,760,000,000","2,894,000,000","4,359,000,000","2,470,000,000","3,235,000,000","1,043,000,000","2,326,000,000","2,558,000,000","1,559,000,000","1,372,000,000","1,653,000,000","1,465,000,000","2,964,000,000","4,816,000,000","9,196,000,000","7,210,000,000","7,049,000,000","6,088,000,000",,,,,,,,,,,,
InterestPaidSupplementalData,,"69,604,000,000","18,526,000,000","4,506,000,000","8,662,000,000","22,196,000,000","19,087,000,000","12,852,000,000","10,510,000,000","10,623,000,000","11,082,000,000","12,912,000,000","18,268,000,000","25,207,000,000","21,166,000,000","37,602,000,000","36,387,000,000","51,829,000,000","42,355,000,000","26,239,000,000","13,765,000,000",,,,,,,,,,,,
CapitalExpenditure,,,,,,,,,,,"-1,160,000,000","-521,000,000",,"-1,307,000,000","-987,000,000","-2,240,000,000","-2,098,000,000","-2,143,000,000","-748,000,000","-1,228,000,000","-863,000,000","-209,000,000","-939,000,000","-835,000,000","-642,000,000","-465,000,000","-437,000,000","-888,000,000","-1,183,000,000","-307,000,000","-327,000,000","-4,671,000,000","-287,000,000"
IssuanceOfCapitalStock,,"0","4,426,000,000","2,169,000,000","2,181,000,000","3,643,000,000","4,515,000,000","0","2,947,000,000","2,964,000,000","5,957,000,000","1,008,000,000","667,000,000","5,000,000,000","0","62,732,000,000","44,869,000,000","2,676,000,000","5,967,000,000","2,846,000,000","3,712,000,000",,,,,,,,,,,,
IssuanceOfDebt,"65,060,000,000","65,396,000,000","65,910,000,000","76,675,000,000","57,013,000,000","52,420,000,000","64,278,000,000","53,486,000,000","35,537,000,000","43,670,000,000","51,573,000,000","45,658,000,000","22,200,000,000","26,001,000,000","52,215,000,000","67,744,000,000","43,782,000,000","67,370,000,000","49,464,000,000","21,958,000,000","21,289,000,000","16,963,000,000","10,850,000,000","14,853,000,000","23,451,000,000","17,630,000,000","12,166,000,000","7,823,000,000","11,199,000,000","14,302,000,000","1,198,000,000","4,125,000,000","349,000,000"
RepaymentOfDebt,"-58,445,000,000","-44,571,000,000","-34,055,000,000","-46,826,000,000","-47,948,000,000","-50,794,000,000","-53,046,000,000","-49,480,000,000","-51,623,000,000","-40,365,000,000","-53,749,000,000","-65,602,000,000","-124,389,000,000","-101,814,000,000","-110,919,000,000","-101,207,000,000","-35,072,000,000","-28,942,000,000","-17,768,000,000","-15,107,000,000","-16,904,000,000","-9,282,000,000","-15,364,000,000","-20,619,000,000","-11,078,000,000","-7,763,000,000","-8,809,000,000","-6,740,000,000","-6,272,000,000","-2,061,000,000","-3,579,000,000","-405,000,000","-128,000,000"
RepurchaseOfCapitalStock,"-9,700,000,000","-4,576,000,000","-5,727,000,000","-27,097,000,000","-8,097,000,000","-30,712,000,000","-24,606,000,000","-12,814,000,000","-5,112,000,000","-2,374,000,000","-1,675,000,000","-9,681,000,000","0","0","0","-45,000,000,000","0","-3,790,000,000","-14,629,000,000","-5,765,000,000","-6,286,000,000",,,,,,,,,,,,
FreeCashFlow,"47,053,000,000","44,982,000,000","-6,327,000,000","-7,193,000,000","37,993,000,000","61,777,000,000","39,520,000,000","9,864,000,000","17,277,000,000","28,397,000,000","30,795,000,000","92,817,000,000","-16,056,000,000","63,141,000,000","81,554,000,000","127,491,000,000","1,936,000,000","8,893,000,000","13,761,000,000","-13,451,000,000","-4,385,000,000","24,104,000,000","-12,946,000,000","-13,661,000,000","4,623,000,000","11,600,000,000","13,080,000,000","537,000,000","2,697,000,000","-5,240,000,000","8,791,000,000","-2,534,000,000","7,514,000,000"