name,ttm,06/30/2024,06/30/2023,06/30/2022,06/30/2021,06/30/2020,06/30/2019,06/30/2018,06/30/2017,06/30/2016,06/30/2015,06/30/2014,06/30/2013,06/30/2012,06/30/2011,06/30/2010,06/30/2009,06/30/2008,06/30/2007,06/30/2006,06/30/2005,06/30/2004,06/30/2003,06/30/2002,06/30/2001,06/30/2000,06/30/1999,06/30/1998,06/30/1997,06/30/1996,06/30/1995,06/30/1994,06/30/1993,06/30/1992,06/30/1991,06/30/1990,06/30/1989
OperatingCashFlow,"4,157,600,000","4,157,600,000","4,207,600,000","3,099,500,000","3,093,300,000","3,026,200,000","2,688,300,000","2,515,200,000","2,125,900,000","1,897,300,000","1,974,000,000","1,821,400,000","1,577,200,000","1,910,200,000","1,705,800,000","1,682,100,000","1,562,600,000","1,772,200,000","1,298,000,000","1,812,500,000","1,433,400,000","1,385,400,000","1,565,089,000","1,531,704,000","1,491,024,000","1,070,101,000","853,900,000","783,400,000","679,500,000","644,100,000","478,800,000","509,100,000","391,400,000","437,500,000","389,700,000","296,400,000","247,500,000"
	CashFlowFromContinuingOperatingActivities,"4,157,600,000","4,157,600,000","4,207,600,000","3,099,500,000","3,093,300,000","3,026,200,000","2,688,300,000","2,515,200,000","2,125,900,000","1,897,300,000","1,977,300,000","1,777,000,000","1,507,600,000","1,898,300,000","1,701,000,000","1,682,100,000","1,560,100,000","1,772,200,000","1,238,300,000","1,566,700,000","1,433,400,000","1,385,400,000","1,565,089,000","1,531,704,000","1,491,024,000","1,070,101,000","853,900,000","783,400,000","679,500,000","644,100,000","478,800,000","509,100,000","391,400,000","437,500,000","389,700,000","296,400,000","247,500,000"
		NetIncomeFromContinuingOperations,"3,752,000,000","3,752,000,000","3,412,000,000","2,948,900,000","2,598,500,000","2,466,500,000","2,292,800,000","1,884,900,000","1,787,800,000","1,492,500,000","1,452,500,000","1,515,900,000","1,369,100,000","1,388,500,000","1,254,200,000","1,211,400,000","1,332,600,000","1,235,700,000","1,138,700,000","1,554,000,000","1,055,400,000","935,600,000","1,018,150,000","1,100,770,000","924,720,000","840,800,000","696,800,000","608,300,000","515,200,000","454,700,000","394,800,000","334,100,000","294,200,000","256,200,000","227,700,000","211,700,000","187,600,000"
		OperatingGainsLosses,"-22,900,000","-22,900,000","-42,600,000","-53,400,000","-52,800,000","-11,600,000","35,600,000","329,700,000","-97,200,000","-18,000,000","-60,800,000","-2,700,000","6,800,000","-53,700,000","4,300,000","34,900,000","39,600,000","-48,700,000","13,300,000","-386,200,000","44,300,000","89,400,000",,,"90,000,000",,,,,,,,,,,,
			GainLossOnSaleOfBusiness,,,,,,,"0","0","-121,400,000","-21,800,000","-78,400,000","-10,500,000",,"0","0","-500,000","-4,400,000","-74,000,000",,,,,,,,,,,,,,,,,,,
			GainLossOnSaleOfPPE,,,,,,,,,"0","-13,900,000","0","0","-2,200,000","0","-1,800,000","2,300,000","-2,200,000","-16,000,000",,,,,,,,,,,,,,,,,,,
			GainLossOnInvestmentSecurities,,,,,,,,,,"5,000,000","-4,900,000","-16,500,000","-28,600,000","-24,400,000","-34,400,000","-1,600,000","12,400,000","1,300,000",,,,,,,,,,,,,,,,,,,
			PensionAndEmployeeBenefitExpense,"-22,900,000","-22,900,000","-42,600,000","-53,400,000","-52,800,000","-11,600,000","55,400,000","330,400,000","24,200,000","17,700,000","17,600,000","24,300,000","37,600,000","36,700,000","40,500,000","34,700,000","33,800,000","40,000,000",,,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"561,900,000","561,900,000","549,300,000","515,100,000","510,700,000","480,000,000","409,000,000","377,600,000","316,100,000","288,600,000","277,900,000","266,600,000","251,200,000","319,300,000","314,600,000","309,200,000","307,700,000","319,100,000","329,300,000","321,400,000","424,400,000","407,000,000","274,682,000","279,077,000","320,856,000","284,282,000","272,800,000","247,600,000","224,900,000","201,600,000","172,500,000","148,300,000","140,200,000","116,100,000","114,500,000","113,500,000","123,600,000"
			DepreciationAndAmortization,"561,900,000","561,900,000","549,300,000","515,100,000","510,700,000","480,000,000","409,000,000","377,600,000","316,100,000","288,600,000","277,900,000","266,600,000","251,200,000","319,300,000","314,600,000","309,200,000","307,700,000","319,100,000","329,300,000","321,400,000","424,400,000","407,000,000","274,682,000","279,077,000","320,856,000","284,282,000","272,800,000","247,600,000","224,900,000","201,600,000","172,500,000","148,300,000","140,200,000","116,100,000","114,500,000","113,500,000","123,600,000"
				Depreciation,"190,300,000","190,300,000","176,500,000","171,000,000",,,,,,,,,,,,,,"319,100,000","288,800,000","246,000,000","304,400,000","277,100,000",,,,,,,,,,,,,,,
				AmortizationCashFlow,"371,600,000","371,600,000","372,800,000","344,100,000",,,,,,,,,,,,,,"42,700,000","40,500,000","75,400,000","120,000,000","129,900,000",,,,,,,,,,,,,,,
					AmortizationOfIntangibles,"371,600,000","371,600,000","372,800,000","344,100,000",,,,,,,,,,,,,,"42,700,000","40,500,000","75,400,000","120,000,000","129,900,000",,,,,,,,,,,,,,,
		DeferredTax,"-37,400,000","-37,400,000","-80,100,000","36,600,000","-251,100,000","26,000,000","9,300,000","-152,000,000","41,300,000","700,000","-15,300,000","-37,900,000","33,700,000","36,100,000","105,300,000","96,100,000","-47,900,000","-92,700,000","15,100,000","-5,000,000","18,900,000","106,200,000","-15,775,000","8,680,000","29,450,000","8,885,000","-23,200,000","-3,000,000","-35,700,000","13,900,000","-11,100,000","4,900,000","12,000,000","-4,000,000","9,200,000","18,900,000","9,100,000"
			DeferredIncomeTax,"-37,400,000","-37,400,000","-80,100,000","36,600,000","-251,100,000","26,000,000","9,300,000","-152,000,000","41,300,000","700,000","-15,300,000","-37,900,000","33,700,000","36,100,000","105,300,000","96,100,000","-47,900,000","-92,700,000","15,100,000","-5,000,000","18,900,000","106,200,000","-15,775,000","8,680,000","29,450,000","8,885,000","-23,200,000","-3,000,000","-35,700,000","13,900,000","-11,100,000","4,900,000","12,000,000","-4,000,000","9,200,000","18,900,000","9,100,000"
		AmortizationOfSecurities,"-42,600,000","-42,600,000","23,000,000","101,000,000","69,500,000","50,200,000","50,100,000","71,500,000","85,900,000","94,100,000","100,300,000","94,400,000","79,300,000","60,000,000","53,600,000","57,300,000","58,300,000","42,700,000",,,,,,,,,,,,,,,,,,,
		AssetImpairmentCharge,"54,600,000","54,600,000","44,000,000","2,800,000","19,900,000","29,900,000","12,100,000","0","0",,"0","0","42,700,000","8,000,000","11,700,000","14,400,000","0",,,,,,,,,,,,,,,,,,,,
		StockBasedCompensation,"243,500,000","243,500,000","220,400,000","201,700,000","175,300,000","130,800,000","167,300,000","175,400,000","138,900,000","137,600,000","143,200,000","117,100,000","82,000,000","94,100,000","90,300,000","67,600,000","96,000,000","123,600,000",,,,,,,,,,,,,,,,,,,
		ExcessTaxBenefitFromStockBasedCompensation,,,,,,,,,,"-37,400,000","-68,400,000","-49,900,000","-16,200,000","-5,700,000","-1,000,000","-200,000","-1,500,000","-700,000",,,,,,,,,,,,,,,,,,,
		OtherNonCashItems,"1,065,900,000","1,065,900,000","1,020,300,000","985,100,000","980,600,000","1,004,300,000","917,900,000","869,600,000","825,000,000","30,700,000","228,500,000","17,000,000","11,900,000","14,600,000","33,600,000","8,800,000","35,800,000","100,600,000","130,500,000","161,300,000",,"28,700,000",,,,"46,708,000","41,900,000","90,400,000","81,600,000","-12,600,000","13,700,000","-4,800,000",,,"200,000",,
		ChangeInWorkingCapital,"-1,417,400,000","-1,417,400,000","-938,700,000","-1,638,300,000","-937,400,000","-1,120,000,000","-1,205,800,000","-1,041,500,000","-971,900,000","-128,900,000","-149,000,000","-143,500,000","-352,900,000","31,400,000","-166,600,000","-117,400,000","-260,500,000","92,600,000","-388,600,000","-78,800,000","-109,600,000","-181,500,000","288,032,000","143,177,000","125,998,000","-110,574,000","-134,400,000","-159,900,000","-106,500,000","-13,500,000","-91,100,000","26,600,000","-55,000,000","69,200,000","38,100,000","-47,700,000","-72,800,000"
			ChangeInReceivables,"-483,700,000","-483,700,000","129,200,000","-486,500,000","-339,800,000","-113,800,000","-473,900,000","-291,800,000","23,400,000","-224,600,000","-175,100,000","-170,700,000","-183,700,000","-41,700,000","-137,300,000","-108,800,000","-152,600,000","34,200,000","-255,600,000","-8,400,000","-165,900,000","-225,400,000","-94,422,000","-73,511,000","-70,699,000","-149,913,000","-155,100,000","-207,800,000","-157,900,000","22,700,000","-89,100,000","-28,900,000","-58,700,000","-6,300,000","40,400,000","-45,100,000","-71,300,000"
				ChangesInAccountReceivables,"-483,700,000","-483,700,000","129,200,000","-486,500,000","-339,800,000","-113,800,000","-473,900,000","-291,800,000","23,400,000","-224,600,000","-175,100,000","-170,700,000","-183,700,000","-41,700,000","-137,300,000","-108,800,000","-152,600,000","34,200,000",,,,,,,,,,,,,,,,,,,
			ChangeInPayablesAndAccruedExpense,"494,700,000","494,700,000","289,500,000","106,600,000","431,800,000","-95,800,000","255,300,000","108,600,000","144,100,000","204,600,000","135,200,000","273,400,000","104,600,000","144,800,000","52,800,000","-38,600,000","-22,300,000","98,900,000","-45,000,000","-98,600,000","290,800,000","43,900,000","287,174,000","138,141,000","182,634,000","39,339,000","20,700,000","47,900,000","51,400,000","-36,200,000","-2,000,000","17,100,000","53,800,000","48,500,000","9,600,000","-8,700,000","11,900,000"
				ChangeInPayable,"1,800,000","1,800,000","-11,800,000","-16,400,000","36,900,000","-18,300,000","-10,700,000","-1,900,000","-11,600,000","-15,900,000","13,100,000","9,600,000","-10,600,000","10,300,000","-24,600,000","34,700,000","-9,700,000","9,700,000",,,,,,,,,,,,,,,,,,,
					ChangeInAccountPayable,"1,800,000","1,800,000","-11,800,000","-16,400,000","36,900,000","-18,300,000","-10,700,000","-1,900,000","-11,600,000","-15,900,000","13,100,000","9,600,000","-10,600,000","10,300,000","-24,600,000","34,700,000","-9,700,000","9,700,000",,,,,,,,,,,,,,,,,,,
				ChangeInAccruedExpense,"492,900,000","492,900,000","301,300,000","123,000,000","394,900,000","-77,500,000","266,000,000","110,500,000","155,700,000","220,500,000","122,100,000","263,800,000","115,200,000","134,500,000","77,400,000","-73,300,000","-12,600,000","89,200,000",,,,,,,,,,,,,,,,,,,
			ChangeInOtherCurrentAssets,"-157,200,000","-157,200,000","-168,200,000","-157,300,000","-1,029,400,000","-910,400,000","-987,200,000","-858,300,000","-1,139,400,000","-108,900,000","-109,100,000","-246,200,000","-273,800,000","-71,700,000","-82,100,000","30,000,000","-85,600,000",,,"164,400,000","-179,800,000",,,,,,,,,,,,,"6,300,000","14,100,000",,
			ChangeInOtherCurrentLiabilities,,,,,,,,,,,,,,,,,,"89,200,000",,"-131,600,000","-54,700,000",,"95,280,000",,"14,063,000",,,,,,,"38,400,000","-50,100,000","20,700,000","-26,000,000","6,100,000","-13,400,000"
			ChangeInOtherWorkingCapital,"-1,271,200,000","-1,271,200,000","-1,189,200,000","-1,101,100,000",,"-910,400,000","-987,200,000","-858,300,000","-1,139,400,000","-108,900,000","-109,100,000","-246,200,000","-273,800,000","-71,700,000","-82,100,000","30,000,000","-85,700,000","-40,500,000","-88,000,000","28,200,000",,,,"78,547,000",,,,,,,,,,,,,
	CashFromDiscontinuedOperatingActivities,,,,,,,,,"0","0","-3,300,000","44,400,000","69,600,000","11,900,000","4,800,000","-100,000","2,500,000","41,300,000","59,700,000","245,800,000",,,,,,,,,,,,,,,,,
InvestingCashFlow,"-1,389,000,000","-1,389,000,000","-2,517,300,000","-7,014,400,000","-3,515,000,000","3,156,300,000","-2,197,700,000","-2,504,600,000","-1,113,200,000","-869,000,000","-3,760,300,000","813,300,000","-1,578,400,000","3,243,600,000","-7,340,600,000","-2,379,500,000","-644,100,000","2,613,900,000","430,800,000","452,200,000","-437,900,000","-1,318,800,000","177,073,000","-1,080,493,000","-455,834,000","-370,598,000","-392,100,000","-630,900,000","-266,100,000","-547,700,000","-414,700,000","-321,400,000","-431,400,000","-537,200,000","-150,500,000","-93,400,000","33,900,000"
	CashFlowFromContinuingInvestingActivities,"-1,389,000,000","-1,389,000,000","-2,517,300,000","-7,014,400,000","-3,515,000,000","3,156,300,000","-2,197,700,000","-2,504,600,000","-1,113,200,000","-869,000,000","-3,743,600,000","903,800,000","-1,530,100,000","3,243,600,000","-7,340,600,000","-2,379,500,000","-644,100,000","2,613,900,000","444,100,000","465,300,000","-390,200,000","-1,182,400,000","177,073,000","-1,080,493,000","-455,834,000","-370,598,000","-392,100,000","-630,900,000","-266,100,000","-547,700,000","-414,700,000","-321,400,000","-431,400,000","-537,200,000","-150,500,000","-93,400,000","33,900,000"
		CapitalExpenditureReported,"-208,400,000","-208,400,000","-206,300,000","-174,400,000","-178,600,000","-172,700,000","-162,000,000","-206,100,000","-240,200,000","-168,500,000","-158,800,000","-159,800,000","-130,300,000","-140,100,000","-181,900,000","-102,900,000","-157,800,000","-181,000,000",,,,,,,,,,,,,,,,,,,
		NetPPEPurchaseAndSale,"28,300,000","28,300,000","0","34,200,000","18,800,000","29,400,000","7,900,000","400,000","0","15,700,000","23,600,000","400,000","10,000,000","71,600,000","13,100,000","3,100,000","25,700,000","0","-322,800,000","-411,000,000","-290,700,000","-333,200,000","-129,723,000","-248,220,000","-184,506,000","-151,378,000","-9,000,000","-481,400,000","-256,600,000","-636,300,000","-113,900,000","-97,900,000","-81,300,000","-47,200,000","-56,600,000","12,100,000","-42,700,000"
			PurchaseOfPPE,,,,,,,,,,,,,,,,,,"-277,600,000","-322,800,000","-411,000,000","-290,700,000","-333,200,000","-133,758,000","-255,420,000","-185,406,000","-166,012,000","-285,000,000","-540,600,000","-296,100,000","-636,300,000","-117,700,000","-110,700,000","-87,400,000","-56,400,000","-70,100,000","-81,700,000","-139,300,000"
			SaleOfPPE,"28,300,000","28,300,000","0","34,200,000","18,800,000","29,400,000","7,900,000","400,000","0","15,700,000","23,600,000","400,000","10,000,000","71,600,000","13,100,000","3,100,000","25,700,000","0",,,"17,200,000","26,907,000","4,035,000","7,200,000","900,000","14,634,000","276,000,000","59,200,000","39,500,000","5,600,000","3,800,000","12,800,000","6,100,000","9,200,000","13,500,000","93,800,000","96,600,000"
		NetIntangiblesPurchaseAndSale,"-355,000,000","-355,000,000","-365,300,000","-379,000,000","-327,300,000","-443,700,000","-404,500,000","-264,700,000","-230,400,000","-217,500,000","-176,700,000","-143,600,000","-104,900,000","-109,500,000","-95,800,000","-123,800,000","-96,000,000","-96,600,000",,,,,,,,,,,,,,,,,,,
