name,ttm,06/30/2024,06/30/2023,06/30/2022,06/30/2021,06/30/2020,06/30/2019,06/30/2018,06/30/2017,06/30/2016,06/30/2015,06/30/2014,06/30/2013,06/30/2012,06/30/2011,06/30/2010,06/30/2009,06/30/2008,06/30/2007,06/30/2006,06/30/2005,06/30/2004,06/30/2003,06/30/2002,06/30/2001,06/30/2000,06/30/1999,06/30/1998,06/30/1997,06/30/1996,06/30/1995,06/30/1994,06/30/1993,06/30/1992,06/30/1991,06/30/1990,06/30/1989
			PurchaseOfIntangibles,"-355,000,000","-355,000,000","-365,300,000","-379,000,000","-327,300,000","-443,700,000","-404,500,000","-264,700,000","-230,400,000","-217,500,000","-176,700,000","-143,600,000","-104,900,000","-109,500,000","-95,800,000","-123,800,000","-96,000,000","-96,600,000",,,,,,,,,,,,,,,,,,,
		NetBusinessPurchaseAndSale,"-33,600,000","-33,600,000","-32,400,000","-11,700,000","0","0","-125,500,000","-612,400,000","146,600,000","162,200,000","90,500,000","24,400,000","119,400,000","-265,700,000","-776,000,000","-78,400,000","-67,100,000","15,100,000","-446,900,000","565,700,000","-387,200,000","-150,900,000","-651,320,000","-219,783,000","-73,667,000","-175,248,000",,,,,,,,,,,
			PurchaseOfBusiness,"-33,600,000","-33,600,000","-32,400,000","-11,700,000","0","0","-125,500,000","-612,400,000","-87,400,000","0","-8,100,000","0","-42,000,000","-265,700,000","-776,000,000","-100,000,000","-67,100,000","-97,300,000",,,,,,,,,,,,,,,,,,,
			SaleOfBusiness,,,,,,,"0","0","234,000,000","162,200,000","98,600,000","24,400,000","161,400,000","0","0","21,600,000","0","112,400,000",,,,,,,,,,,,,,,,,,,
		NetInvestmentPurchaseAndSale,"-795,800,000","-795,800,000","-1,913,300,000","-6,483,500,000","-3,027,900,000","3,743,300,000","-1,513,600,000","-1,421,800,000","-789,200,000","-660,900,000","-1,206,600,000","-1,355,400,000","-1,264,000,000","-1,151,300,000","-1,465,800,000","-439,800,000","583,900,000","-1,266,600,000","429,500,000","472,600,000","-970,300,000","-2,747,900,000","2,064,032,000","-430,292,000","-886,028,000","-3,371,044,000","-331,300,000","-67,300,000","-32,600,000","194,100,000","-154,700,000","-117,900,000","-268,300,000","-141,300,000","-4,300,000","-54,500,000","129,300,000"
			PurchaseOfInvestment,"-6,835,300,000","-6,835,300,000","-6,618,800,000","-10,733,200,000","-9,266,300,000","-3,905,100,000","-4,422,600,000","-4,876,800,000","-4,382,800,000","-5,876,300,000","-5,047,600,000","-3,414,900,000","-4,902,600,000","-5,113,500,000","-4,770,900,000","-3,846,700,000","-2,736,500,000","-6,407,200,000","-4,449,100,000","-5,846,500,000","-7,599,400,000","-8,087,200,000","-3,451,554,000","-4,597,320,000","-3,973,434,000","-7,372,892,000","-608,300,000","-617,700,000","-659,800,000","-327,800,000","-154,700,000","-117,900,000","-268,300,000","-141,300,000","-4,300,000","-54,500,000",
			SaleOfInvestment,"6,039,500,000","6,039,500,000","4,705,500,000","4,249,700,000","6,238,400,000","7,648,400,000","2,909,000,000","3,455,000,000","3,593,600,000","5,215,400,000","3,841,000,000","2,059,500,000","3,638,600,000","3,962,200,000","3,305,100,000","3,406,900,000","3,320,400,000","5,140,600,000","4,878,600,000","6,319,100,000","6,629,100,000","5,339,300,000","5,515,586,000","4,167,028,000","3,087,406,000","4,001,848,000","277,000,000","550,400,000","627,200,000","521,900,000",,,,,,,"129,300,000"
		DividendsReceivedCFI,,,,,,,,,"0","0","825,000,000","0","0",,,,,,,,,,,,,,,,,,,,,,,,
		NetOtherInvestingChanges,"-24,500,000","-24,500,000",,,,,,,"6,843,600,000","-8,218,200,000","-3,140,600,000","2,537,800,000","-160,300,000","4,838,600,000","-4,834,200,000","-1,637,700,000","-932,800,000","4,143,000,000","784,300,000","-162,000,000","1,258,000,000","2,049,600,000","-1,105,916,000","-182,198,000","688,367,000","3,327,072,000","-51,800,000","-82,200,000","23,100,000","-105,500,000","-146,100,000","-105,600,000","-81,800,000","-348,700,000","-89,600,000","-51,000,000","-52,700,000"
	CashFromDiscontinuedInvestingActivities,,,,,,,,,"0","0","-16,700,000","-90,500,000","-48,300,000","0","0","-100,000","0","112,400,000","-13,300,000","-13,100,000","-47,700,000","-136,400,000",,,,,,,,,,,,,,,
FinancingCashFlow,"-1,431,700,000","-1,431,700,000","-15,680,700,000","13,653,400,000","6,437,500,000","-5,890,600,000","-207,700,000","-1,655,900,000","-8,281,700,000","8,752,700,000","1,548,300,000","-2,358,200,000","151,000,000","-4,953,900,000","5,339,200,000","89,000,000","468,400,000","-5,270,700,000","-1,884,400,000","-1,348,800,000","-746,500,000","-770,300,000","-1,130,754,000","-927,757,000","-987,471,000","-333,146,000","-363,600,000","-1,200,000","-118,800,000","-95,500,000","10,900,000","-129,900,000","-83,200,000","264,600,000","-348,000,000","-195,500,000","-228,000,000"
	CashFlowFromContinuingFinancingActivities,"-1,431,700,000","-1,431,700,000","-15,680,700,000","13,653,400,000","6,437,500,000","-5,890,600,000","-207,700,000","-1,655,900,000","-8,281,700,000","8,752,700,000","1,546,800,000","-2,373,100,000","136,000,000","-4,953,900,000","5,339,200,000","89,000,000","468,400,000","-5,270,700,000","-2,018,500,000","-1,422,000,000","-755,500,000","-778,800,000","-1,130,754,000","-927,757,000","-987,471,000","-333,146,000","-363,600,000","-1,200,000","-118,800,000","-95,500,000","10,900,000","-129,900,000","-83,200,000","264,600,000","-348,000,000","-195,500,000","-228,000,000"
		NetIssuancePaymentsOfDebt,"-900,000","-900,000","-1,000,000","-900,000","979,700,000","-2,200,000","-2,100,000","-7,300,000","-2,000,000","1,996,800,000","-2,175,300,000","2,169,700,000","-17,500,000","-2,000,000","-5,700,000","-732,900,000","1,594,000,000","11,100,000","-1,200,000","-200,000","-800,000","-1,000,000","-420,000","-3,561,000","-22,132,000","-92,150,000","-197,400,000","113,300,000","44,300,000","69,700,000","-6,200,000","-1,700,000","-9,000,000","269,600,000","-51,100,000","-22,200,000","-21,900,000"
			NetLongTermDebtIssuance,"-900,000","-900,000","-1,000,000","-900,000","979,700,000","-2,200,000","-2,100,000","-7,300,000","-2,000,000","1,996,800,000","-2,300,000","-3,300,000","-17,500,000","-2,000,000","-5,700,000","-2,900,000","-21,200,000","11,100,000",,,,,,,,,,,,,,,,,,,
				LongTermDebtIssuance,,,"0","0","1,981,500,000","0","0","0","0","1,998,300,000","0","0",,,"0","0","12,500,000","21,200,000",,,,,,,,,,,,,,,,,,,
				LongTermDebtPayments,"-900,000","-900,000","-1,000,000","-900,000","-1,001,800,000","-2,200,000","-2,100,000","-7,300,000","-2,000,000","-1,500,000","-2,300,000","-3,300,000","-17,500,000","-2,000,000","-5,700,000","-2,900,000","-33,700,000","-10,100,000",,,,,,,,,,,,,,,,,,,
			NetShortTermDebtIssuance,,,,,,,,,"0","0","-2,173,000,000","2,173,000,000","0","0","6,290,900,000","-730,000,000","1,615,200,000","0",,,,,,,,,,,,,,,,,,,
				ShortTermDebtIssuance,,,,,,,,,,,,"2,173,000,000","0","0","6,290,900,000",,"730,000,000","0",,,,,,,,,,,,,,,,,,,
				ShortTermDebtPayments,,,,,,,,,"0","0","-2,173,000,000","0",,"0","0","-730,000,000",,,,,,,,,,,,,,,,,,,,,
		NetCommonStockIssuance,"-1,231,700,000","-1,231,700,000","-1,121,400,000","-1,969,400,000","-1,372,300,000","-1,006,300,000","-937,700,000","-989,300,000","-1,259,600,000","-1,155,700,000","-1,557,200,000","-667,300,000","-647,300,000","-741,300,000","-732,800,000","-766,400,000","-580,400,000","-1,504,800,000","-1,556,200,000","-1,035,800,000","-409,800,000","-469,200,000","-845,729,000","-647,336,000","-716,886,000","-28,418,000","15,000,000","40,200,000","-29,500,000","-119,600,000","86,300,000","-51,400,000","-9,700,000","48,300,000","-266,400,000","-143,100,000","-185,400,000"
			CommonStockIssuance,,,,,,,,,,,,,,,,,,"239,700,000","344,200,000","264,100,000","174,600,000","160,700,000","92,816,000","228,113,000","218,178,000","172,589,000","100,400,000","81,100,000","98,200,000","125,600,000","99,400,000","78,000,000","72,800,000","60,600,000","28,200,000","23,300,000","21,200,000"
			CommonStockPayments,"-1,231,700,000","-1,231,700,000","-1,121,400,000","-1,969,400,000","-1,372,300,000","-1,006,300,000","-937,700,000","-989,300,000","-1,259,600,000","-1,155,700,000","-1,557,200,000","-667,300,000","-647,300,000","-741,300,000","-732,800,000","-766,400,000","-580,400,000","-1,504,800,000","-1,900,400,000","-1,299,900,000","-584,400,000","-629,900,000","-938,545,000","-875,449,000","-935,064,000","-201,007,000","-85,400,000","-40,900,000","-127,700,000","-245,200,000","-13,100,000","-129,400,000","-82,500,000","-12,300,000","-294,600,000","-166,400,000","-206,600,000"
		CashDividendsPaid,"-2,183,100,000","-2,183,100,000","-1,903,600,000","-1,659,000,000","-1,575,500,000","-1,470,500,000","-1,293,000,000","-1,063,700,000","-995,200,000","-943,600,000","-927,600,000","-883,100,000","-805,500,000","-739,700,000","-692,400,000","-673,400,000","-629,400,000","-548,900,000","-461,300,000","-393,900,000","-344,900,000","-308,600,000","-284,605,000","-276,860,000","-248,453,000","-212,578,000","-181,100,000","-152,900,000","-129,800,000","-112,100,000","-89,200,000","-76,000,000","-67,200,000","-57,700,000","-50,600,000","-46,200,000","-39,900,000"
			CommonStockDividendPaid,"-2,183,100,000","-2,183,100,000","-1,903,600,000","-1,659,000,000","-1,575,500,000","-1,470,500,000","-1,293,000,000","-1,063,700,000","-995,200,000","-943,600,000","-927,600,000","-883,100,000","-805,500,000","-739,700,000","-692,400,000","-673,400,000",,,,,,,,,,,,,,,,,,,,,
		ProceedsFromStockOptionExercised,"47,200,000","47,200,000","91,600,000","96,500,000","104,100,000","50,000,000","72,900,000","69,300,000","95,700,000","75,300,000","109,100,000","194,200,000","205,700,000","250,000,000","478,200,000","241,100,000","82,700,000","239,700,000",,,,,,,,,,,,,,,,,,,
		NetOtherFinancingCharges,"1,936,800,000","1,936,800,000","-12,746,300,000","17,186,200,000","8,301,500,000","-3,461,600,000","1,952,200,000","335,100,000","-6,120,600,000","8,779,900,000","6,097,800,000","-3,186,600,000","1,400,600,000","-3,720,900,000","6,291,900,000","2,020,600,000","1,500,000","-3,467,800,000","200,000","7,900,000",,,,,,,"-100,000","-1,800,000","-3,800,000","66,500,000","20,000,000","-800,000","2,700,000","4,400,000","20,100,000","16,000,000","19,200,000"
	CashFromDiscontinuedFinancingActivities,,,,,,,,,"0","0","1,500,000","14,900,000","15,000,000",,,,,,"134,100,000","73,200,000","9,000,000","8,500,000",,,,,,,,,,,,,,,
EndCashPosition,"10,086,000,000","10,086,000,000","8,771,500,000","22,783,000,000","13,143,200,000","7,053,600,000","6,796,200,000","6,542,100,000","8,181,600,000","15,458,600,000","1,639,300,000","1,983,600,000","1,699,100,000","1,548,100,000","1,389,400,000","1,643,300,000","2,265,300,000","917,500,000","1,746,100,000","1,800,100,000","975,400,000","713,000,000","1,410,218,000","798,810,000","1,275,356,000","1,227,637,000","861,300,000","763,100,000","611,800,000","0","0","0","0","0","0","0","0"
	ChangesInCash,"1,336,900,000","1,336,900,000","-13,990,400,000","9,738,500,000","6,015,800,000","291,900,000","282,900,000","-1,645,300,000","-7,269,000,000","9,781,000,000","-238,000,000","276,500,000","149,800,000","199,900,000","-295,600,000","-608,400,000","1,386,900,000","-884,600,000","-155,600,000","915,900,000","249,000,000","-703,700,000","611,408,000","-476,546,000","47,719,000","366,357,000","98,200,000","151,300,000","294,600,000","900,000","75,000,000","57,800,000","-123,200,000","164,900,000","-108,800,000","7,500,000","53,400,000"
	EffectOfExchangeRateChanges,"-22,400,000","-22,400,000","-21,100,000","-98,700,000","73,800,000","-34,500,000","-28,800,000","5,800,000","-8,000,000","-8,700,000","-106,300,000","8,000,000","1,200,000","-41,200,000","41,700,000","-13,600,000","-39,100,000","41,300,000","15,700,000","9,400,000","13,400,000","6,500,000",,,,,,,,,,,,,,,
	BeginningCashPosition,"8,771,500,000","8,771,500,000","22,783,000,000","13,143,200,000","7,053,600,000","6,796,200,000","6,542,100,000","8,181,600,000","15,458,600,000","5,686,300,000","1,983,600,000","1,699,100,000","1,548,100,000","1,389,400,000","1,643,300,000","2,265,300,000","917,500,000","1,760,800,000","1,886,000,000","874,800,000","713,000,000","1,410,200,000","798,810,000","1,275,356,000","1,227,637,000","861,280,000","763,100,000","611,800,000","317,200,000","313,600,000","238,600,000","180,800,000","304,000,000","139,100,000","247,900,000","240,500,000","187,000,000"
	OtherCashAdjustmentOutsideChangeinCash,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-752,300,000","-590,600,000","-314,500,000","-313,600,000","-238,600,000","-180,800,000","-304,000,000","-139,100,000","-248,000,000","-240,400,000"
IncomeTaxPaidSupplementalData,"1,185,200,000","1,185,200,000","1,080,700,000","856,800,000","973,700,000","677,100,000","633,800,000","529,700,000","817,100,000","651,600,000","-773,300,000","821,500,000",,,,,,,,,,,,,,,,,,,,,,,,,
InterestPaidSupplementalData,"353,900,000","353,900,000","246,500,000","74,800,000","53,100,000","104,800,000","127,500,000","100,500,000","78,100,000","37,500,000","-5,700,000","5,500,000",,,,,,,,,,,,,,,,,,,,,,,,,
CapitalExpenditure,"-563,400,000","-563,400,000","-571,600,000","-553,400,000","-505,900,000","-616,400,000","-566,500,000","-470,800,000","-470,600,000","-386,000,000","-335,500,000","-303,400,000","-235,200,000","-249,600,000","-277,700,000","-226,700,000","-253,800,000","-277,600,000","-322,800,000","-411,000,000","-290,700,000","-333,200,000","-133,758,000","-255,420,000","-185,406,000","-166,012,000","-285,000,000","-540,600,000","-296,100,000","-636,300,000","-117,700,000","-110,700,000","-87,400,000","-56,400,000","-70,100,000","-81,700,000","-139,300,000"
IssuanceOfCapitalStock,,,,,,,,,,,,,,,,,,"239,700,000","344,200,000","264,100,000","174,600,000","160,700,000","92,816,000","228,113,000","218,178,000","172,589,000","100,400,000","81,100,000","98,200,000","125,600,000","99,400,000","78,000,000","72,800,000","60,600,000","28,200,000","23,300,000","21,200,000"
IssuanceOfDebt,,,"0","0","1,981,500,000","0","0","0","0","1,998,300,000","0","2,173,000,000","0","0","6,290,900,000","0","12,500,000","21,200,000",,,,,,,,,,,,,,,,,,,
RepaymentOfDebt,"-900,000","-900,000","-1,000,000","-900,000","-1,001,800,000","-2,200,000","-2,100,000","-7,300,000","-2,000,000","-1,500,000","-2,175,300,000","-3,300,000","-17,500,000","-2,000,000","-5,700,000","-732,900,000","-33,700,000","-10,100,000",,,,,,,,,,,,,,,,,,,
RepurchaseOfCapitalStock,"-1,231,700,000","-1,231,700,000","-1,121,400,000","-1,969,400,000","-1,372,300,000","-1,006,300,000","-937,700,000","-989,300,000","-1,259,600,000","-1,155,700,000","-1,557,200,000","-667,300,000","-647,300,000","-741,300,000","-732,800,000","-766,400,000","-580,400,000","-1,504,800,000","-1,900,400,000","-1,299,900,000","-584,400,000","-629,900,000","-938,545,000","-875,449,000","-935,064,000","-201,007,000","-85,400,000","-40,900,000","-127,700,000","-245,200,000","-13,100,000","-129,400,000","-82,500,000","-12,300,000","-294,600,000","-166,400,000","-206,600,000"
FreeCashFlow,"3,594,200,000","3,594,200,000","3,636,000,000","2,546,100,000","2,587,400,000","2,409,800,000","2,121,800,000","2,044,400,000","1,655,300,000","1,511,300,000","1,638,500,000","1,518,000,000","1,342,000,000","1,660,600,000","1,428,100,000","1,455,400,000","1,308,800,000","1,494,600,000","975,200,000","1,401,500,000","1,142,700,000","1,052,200,000","1,431,331,000","1,276,284,000","1,305,618,000","904,089,000","568,900,000","242,800,000","383,400,000","7,800,000","361,100,000","398,400,000","304,000,000","381,100,000","319,600,000","214,700,000","108,200,000"