name,ttm,10/31/2023,10/31/2022,10/31/2021,10/31/2020,10/31/2019,10/31/2018,10/31/2017,10/31/2016,10/31/2015,10/31/2014,10/31/2013,10/31/2012,10/31/2011,10/31/2010,10/31/2009,10/31/2008,10/31/2007
TotalRevenue,"46,815,000,000","35,819,000,000","33,203,000,000","27,450,000,000","23,888,000,000","22,597,000,000","20,848,000,000","17,636,000,000","13,240,000,000","6,824,000,000","4,269,000,000","2,520,000,000","2,364,000,000","2,336,000,000","2,093,000,000","1,484,000,000","1,699,000,000","1,527,000,000"
	OperatingRevenue,"46,815,000,000","35,819,000,000","33,203,000,000","27,450,000,000","23,888,000,000","22,597,000,000","20,848,000,000","17,636,000,000","13,240,000,000","6,824,000,000","4,269,000,000","2,520,000,000","2,364,000,000","2,336,000,000","2,093,000,000","1,484,000,000","1,699,000,000","1,527,000,000"
CostOfRevenue,"16,901,000,000","11,129,000,000","11,108,000,000","10,606,000,000","10,372,000,000","10,114,000,000","10,115,000,000","9,127,000,000","7,300,000,000","3,271,000,000","2,392,000,000","1,322,000,000","1,222,000,000","1,189,000,000","1,127,000,000","924,000,000","1,044,000,000","1,165,000,000"
GrossProfit,"29,914,000,000","24,690,000,000","22,095,000,000","16,844,000,000","13,516,000,000","12,483,000,000","10,733,000,000","8,509,000,000","5,940,000,000","3,553,000,000","1,877,000,000","1,198,000,000","1,142,000,000","1,147,000,000","966,000,000","560,000,000","655,000,000","362,000,000"
OperatingExpense,"15,610,000,000","8,239,000,000","7,813,000,000","8,177,000,000","9,304,000,000","8,303,000,000","5,365,000,000","5,855,000,000","5,353,000,000","1,784,000,000","1,299,000,000","644,000,000","555,000,000","559,000,000","497,000,000","489,000,000","489,000,000","426,000,000"
	SellingGeneralAndAdministration,"4,367,000,000","1,592,000,000","1,382,000,000","1,347,000,000","1,935,000,000","1,709,000,000","1,056,000,000","789,000,000","806,000,000","486,000,000","407,000,000","222,000,000","199,000,000","220,000,000","196,000,000","223,000,000","196,000,000","193,000,000"
	ResearchAndDevelopment,"8,464,000,000","5,253,000,000","4,919,000,000","4,854,000,000","4,968,000,000","4,696,000,000","3,768,000,000","3,302,000,000","2,674,000,000","1,049,000,000","695,000,000","398,000,000","335,000,000","317,000,000","280,000,000","245,000,000","265,000,000","205,000,000"
	DepreciationAmortizationDepletionIncomeStatement,"2,779,000,000","1,394,000,000","1,512,000,000","1,976,000,000","2,401,000,000","1,898,000,000","541,000,000","1,764,000,000","1,873,000,000","249,000,000","197,000,000","24,000,000","21,000,000","22,000,000","21,000,000","21,000,000","28,000,000","28,000,000"
		DepreciationAndAmortizationInIncomeStatement,"2,779,000,000","1,394,000,000","1,512,000,000","1,976,000,000","2,401,000,000","1,898,000,000","541,000,000","1,764,000,000","1,873,000,000","249,000,000","197,000,000","24,000,000","21,000,000","22,000,000","21,000,000","21,000,000","28,000,000","28,000,000"
			Amortization,"2,779,000,000","1,394,000,000","1,512,000,000","1,976,000,000","2,401,000,000","1,898,000,000","541,000,000","1,764,000,000","1,873,000,000","249,000,000","197,000,000","24,000,000","21,000,000","22,000,000","21,000,000","21,000,000","28,000,000","28,000,000"
				AmortizationOfIntangiblesIncomeStatement,"2,779,000,000","1,394,000,000","1,512,000,000","1,976,000,000","2,401,000,000","1,898,000,000","541,000,000","1,764,000,000","1,873,000,000","249,000,000","197,000,000","24,000,000","21,000,000","22,000,000","21,000,000","21,000,000","28,000,000","28,000,000"
	OtherOperatingExpenses,,,,,,,,,,,,,,,,"54,000,000",,
OperatingIncome,"14,304,000,000","16,451,000,000","14,282,000,000","8,667,000,000","4,212,000,000","4,180,000,000","5,368,000,000","2,654,000,000","587,000,000","1,769,000,000","578,000,000","554,000,000","587,000,000","588,000,000","469,000,000","71,000,000","166,000,000","-64,000,000"
NetNonOperatingInterestIncomeExpense,"-2,907,000,000","-1,087,000,000","-1,637,000,000","-1,869,000,000","-1,724,000,000","-1,346,000,000","-514,000,000","-410,000,000","-575,000,000","-183,000,000","-104,000,000","2,000,000","3,000,000","-3,000,000","-34,000,000","-77,000,000","-86,000,000","-109,000,000"
	InterestIncomeNonOperating,"53,000,000","535,000,000","100,000,000","16,000,000","53,000,000","98,000,000","114,000,000","44,000,000","10,000,000","8,000,000","6,000,000","4,000,000","4,000,000","1,000,000",,,,
	InterestExpenseNonOperating,"3,442,000,000","1,622,000,000","1,737,000,000","1,885,000,000","1,777,000,000","1,444,000,000","628,000,000","454,000,000","585,000,000","191,000,000","110,000,000","2,000,000","1,000,000","3,000,000","34,000,000","77,000,000","86,000,000","109,000,000"
	TotalOtherFinanceCost,,,,,,,,,,,,"1,000,000",,"1,000,000",,,,
OtherIncomeExpense,"-1,277,000,000","-267,000,000","-211,000,000","-33,000,000","-45,000,000","-608,000,000","-309,000,000","-419,000,000","-1,119,000,000","-119,000,000","-132,000,000","12,000,000","-5,000,000","-24,000,000","-29,000,000","-30,000,000","-20,000,000","-39,000,000"
	GainOnSaleOfSecurity,"31,000,000","11,000,000","-169,000,000","99,000,000","31,000,000","145,000,000","3,000,000","-1,000,000",,,,,,,,,,
	SpecialIncomeCharges,"-1,228,000,000","-244,000,000","-57,000,000","-148,000,000","-82,000,000","-736,000,000","-339,000,000","-449,000,000","-1,119,000,000","-147,000,000","-140,000,000","-2,000,000","-5,000,000","-24,000,000","-29,000,000","-30,000,000","-20,000,000","-39,000,000"
		RestructuringAndMergernAcquisition,"1,228,000,000","244,000,000","57,000,000","148,000,000","198,000,000","736,000,000","219,000,000","161,000,000","996,000,000","137,000,000","140,000,000","2,000,000","5,000,000","4,000,000","3,000,000","23,000,000","6,000,000","22,000,000"
		ImpairmentOfCapitalAssets,,,,,,,,,,,,,,,,"0","0","18,000,000"
		WriteOff,"0",,,,"0","0","106,000,000",,"0",,,,,,,,,
		OtherSpecialCharges,"-116,000,000",,,,"-116,000,000",,"14,000,000","288,000,000","123,000,000","10,000,000",,"1,000,000","-4,000,000","20,000,000","26,000,000","7,000,000","14,000,000","-1,000,000"
	OtherNonOperatingIncomeExpenses,"-60,000,000","-34,000,000","15,000,000","16,000,000","6,000,000","-17,000,000","27,000,000","31,000,000",,"28,000,000","8,000,000","14,000,000",,,,,,
PretaxIncome,"10,120,000,000","15,097,000,000","12,434,000,000","6,765,000,000","2,443,000,000","2,226,000,000","4,545,000,000","1,825,000,000","-1,107,000,000","1,467,000,000","342,000,000","568,000,000","585,000,000","561,000,000","406,000,000","-36,000,000","60,000,000","-212,000,000"
TaxProvision,"4,633,000,000","1,015,000,000","939,000,000","29,000,000","-518,000,000","-510,000,000","-8,084,000,000","35,000,000","642,000,000","76,000,000","33,000,000","16,000,000","22,000,000","9,000,000","-9,000,000","8,000,000","3,000,000","8,000,000"
NetIncomeCommonStockholders,"5,095,000,000","14,082,000,000","11,223,000,000","6,437,000,000","2,663,000,000","2,695,000,000","12,259,000,000","1,692,000,000","-1,739,000,000","1,364,000,000","263,000,000","552,000,000","563,000,000","552,000,000","415,000,000","-44,000,000","83,000,000","-159,000,000"
	NetIncome,"5,095,000,000","14,082,000,000","11,495,000,000","6,736,000,000","2,960,000,000","2,724,000,000","12,259,000,000","1,784,000,000","-1,739,000,000","1,364,000,000","263,000,000","552,000,000","563,000,000","552,000,000","415,000,000","-44,000,000","83,000,000","-159,000,000"
		NetIncomeIncludingNoncontrollingInterests,"5,095,000,000","14,082,000,000","11,495,000,000","6,736,000,000","2,960,000,000","2,724,000,000","12,610,000,000","1,784,000,000","-1,861,000,000","1,364,000,000","263,000,000","552,000,000","563,000,000","552,000,000","415,000,000","-44,000,000","83,000,000","-159,000,000"
			NetIncomeContinuousOperations,"5,487,000,000","14,082,000,000","11,495,000,000","6,736,000,000","2,961,000,000","2,736,000,000","12,629,000,000","1,790,000,000","-1,749,000,000","1,391,000,000","309,000,000","552,000,000","563,000,000","552,000,000","415,000,000","-44,000,000","57,000,000","-220,000,000"
			NetIncomeDiscontinuousOperations,,,"0","0","-1,000,000","-12,000,000","-19,000,000","-6,000,000","-112,000,000","-27,000,000","-46,000,000","0","0",,"0","0","26,000,000","61,000,000"
		MinorityInterests,"0",,,,"0","0","-351,000,000","-92,000,000","122,000,000",,"0",,,,,,,
	PreferredStockDividends,,,"272,000,000","299,000,000","297,000,000","29,000,000","351,000,000","92,000,000",,,,,,,,,,
AverageDilutionEarnings,,,,,,,,,"-122,000,000",,,,,,,,,
DilutedNIAvailtoComStockholders,"5,095,000,000","14,082,000,000","11,223,000,000","6,437,000,000","2,663,000,000","2,695,000,000","12,259,000,000","1,692,000,000","-1,861,000,000","1,364,000,000","263,000,000","552,000,000","563,000,000","552,000,000","415,000,000","-44,000,000","83,000,000","-159,000,000"
BasicEPS,"1.193","3.393","2.737","1.566","0.66","0.677","2.933","0.443","-0.475","0.517","0.105","0.223","0.23","0.225","0.174","-0.02","0.039","-0.074"
DilutedEPS,"1.158","3.298","2.646","1.496","0.631","0.643","2.844","0.427","-0.486","0.485","0.099","0.219","0.225","0.219","0.169","-0.02","0.038","-0.074"
BasicAverageShares,"4,489,000,000","4,150,000,000","4,100,250,544","4,110,275,607","4,030,075,107","3,979,999,920","4,179,999,916","4,049,999,919","3,659,999,926","2,639,999,947","2,509,999,949","2,469,999,950","2,449,999,951","2,449,999,951","2,379,999,952","2,189,999,956","2,139,999,957","2,139,999,957"
DilutedAverageShares,"4,636,000,000","4,270,000,000","4,240,601,418","4,300,751,793","4,220,551,294","4,189,999,916","4,309,999,913","4,209,999,915","3,829,999,923","2,809,999,943","2,669,999,946","2,519,999,949","2,499,999,950","2,519,999,949","2,459,999,950","2,189,999,956","2,189,999,956","2,139,999,957"
TotalOperatingIncomeAsReported,"13,076,000,000","16,207,000,000","14,225,000,000","8,519,000,000","4,014,000,000","3,444,000,000","5,135,000,000","2,371,000,000","-409,000,000","1,632,000,000","438,000,000","552,000,000","582,000,000","584,000,000","466,000,000","48,000,000","160,000,000","-105,000,000"
TotalExpenses,"32,511,000,000","19,368,000,000","18,921,000,000","18,783,000,000","19,676,000,000","18,417,000,000","15,480,000,000","14,982,000,000","12,653,000,000","5,055,000,000","3,691,000,000","1,966,000,000","1,777,000,000","1,748,000,000","1,624,000,000","1,413,000,000","1,533,000,000","1,591,000,000"
NetIncomeFromContinuingAndDiscontinuedOperation,"5,095,000,000","14,082,000,000","11,495,000,000","6,736,000,000","2,960,000,000","2,724,000,000","12,259,000,000","1,784,000,000","-1,739,000,000","1,364,000,000","263,000,000","552,000,000","563,000,000","552,000,000","415,000,000","-44,000,000","83,000,000","-159,000,000"
NormalizedIncome,"6,448,430,000","14,299,389,000","11,704,050,000","6,784,804,000","3,001,188,000","3,167,430,000","12,523,280,000","2,231,450,000","-955,600,000","1,530,356,000","435,560,000","553,944,000","567,810,000","575,640,000","443,391,000","-24,500,000","76,000,000","-194,650,000"
InterestIncome,"53,000,000","535,000,000","100,000,000","16,000,000","53,000,000","98,000,000","114,000,000","44,000,000","10,000,000","8,000,000","6,000,000","4,000,000","4,000,000","1,000,000",,,,
InterestExpense,"3,442,000,000","1,622,000,000","1,737,000,000","1,885,000,000","1,777,000,000","1,444,000,000","628,000,000","454,000,000","585,000,000","191,000,000","110,000,000","2,000,000","1,000,000","3,000,000","34,000,000","77,000,000","86,000,000","109,000,000"
NetInterestIncome,"-2,907,000,000","-1,087,000,000","-1,637,000,000","-1,869,000,000","-1,724,000,000","-1,346,000,000","-514,000,000","-410,000,000","-575,000,000","-183,000,000","-104,000,000","2,000,000","3,000,000","-3,000,000","-34,000,000","-77,000,000","-86,000,000","-109,000,000"
EBIT,"13,562,000,000","16,719,000,000","14,171,000,000","8,650,000,000","4,220,000,000","3,670,000,000","5,173,000,000","2,279,000,000","-522,000,000","1,658,000,000","452,000,000","570,000,000","586,000,000","564,000,000","440,000,000","41,000,000","146,000,000","-103,000,000"
EBITDA,"21,893,000,000","20,554,000,000","19,155,000,000","14,691,000,000","11,125,000,000","9,478,000,000","9,254,000,000","7,016,000,000","2,520,000,000","2,620,000,000","1,077,000,000","757,000,000","741,000,000","721,000,000","599,000,000","201,000,000","305,000,000","73,000,000"
ReconciledCostOfRevenue,"11,349,000,000","8,688,000,000","7,636,000,000","6,541,000,000","5,868,000,000","6,204,000,000","6,575,000,000","6,154,000,000","6,131,000,000","2,558,000,000","1,964,000,000","1,159,000,000","1,088,000,000","1,054,000,000","989,000,000","785,000,000","913,000,000","1,017,000,000"
ReconciledDepreciation,"8,331,000,000","3,835,000,000","4,984,000,000","6,041,000,000","6,905,000,000","5,808,000,000","4,081,000,000","4,737,000,000","3,042,000,000","962,000,000","625,000,000","187,000,000","155,000,000","157,000,000","159,000,000","160,000,000","159,000,000","176,000,000"
NetIncomeFromContinuingOperationNetMinorityInterest,"5,487,000,000","14,082,000,000","11,495,000,000","6,736,000,000","2,961,000,000","2,736,000,000","12,278,000,000","1,790,000,000","-1,627,000,000","1,391,000,000","309,000,000","552,000,000","563,000,000","552,000,000","415,000,000","-44,000,000","57,000,000","-220,000,000"
TotalUnusualItemsExcludingGoodwill,"-1,217,000,000","-233,000,000","-226,000,000","-49,000,000","-51,000,000","-591,000,000","-336,000,000","-450,000,000","-1,119,000,000","-147,000,000","-140,000,000","-2,000,000","-5,000,000","-24,000,000","-29,000,000","-30,000,000","-20,000,000","-39,000,000"
TotalUnusualItems,"-1,217,000,000","-233,000,000","-226,000,000","-49,000,000","-51,000,000","-591,000,000","-336,000,000","-450,000,000","-1,119,000,000","-147,000,000","-140,000,000","-2,000,000","-5,000,000","-24,000,000","-29,000,000","-30,000,000","-20,000,000","-39,000,000"
NormalizedEBITDA,"23,110,000,000","20,787,000,000","19,381,000,000","14,740,000,000","11,176,000,000","10,069,000,000","9,590,000,000","7,466,000,000","3,639,000,000","2,767,000,000","1,217,000,000","759,000,000","746,000,000","745,000,000","628,000,000","231,000,000","325,000,000","112,000,000"
TaxRateForCalcs,"0.21","0.067","0.075","0.004","0.212","0.27","0.27","0.019","0.4","0.052","0.096","0.028","0.038","0.015","0.021","0.35","0.05","0.35"
TaxEffectOfUnusualItems,"-255,570,000","-15,611,000","-16,950,000","-196,000","-10,812,000","-159,570,000","-90,720,000","-8,550,000","-447,600,000","-7,644,000","-13,440,000","-56,000","-190,000","-360,000","-609,000","-10,500,000","-1,000,000","-13,650,000"