name,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,06/30/2011,06/30/2010
TotalAssets,"17,387,000,000","13,299,000,000","10,798,000,000","8,715,000,000","6,022,430,000","3,879,140,000","3,550,245,000","2,033,767,000","1,807,052,000","1,424,752,000","1,168,476,000","478,114,000","108,746,000","51,369,000"
	CurrentAssets,"7,777,000,000","6,654,000,000","5,220,000,000","4,522,000,000","2,826,901,000","2,344,693,000","2,421,951,000","1,342,535,000","1,085,635,000","906,986,000","797,749,000","422,089,000","96,893,000","47,492,000"
		CashCashEquivalentsAndShortTermInvestments,"4,877,000,000","4,280,000,000","3,304,000,000","3,092,000,000","1,691,095,000","1,497,922,000","1,779,298,000","899,362,000","801,250,000","668,791,000","634,554,000","314,691,000","59,853,000","29,402,000"
			CashAndCashEquivalents,"1,897,000,000","1,470,000,000","1,728,000,000","1,677,000,000","775,778,000","566,204,000","726,495,000","401,238,000","412,305,000","252,455,000","366,303,000","118,989,000","59,853,000","29,402,000"
				CashFinancial,,,,,,,,,,,,,"59,853,000","29,402,000"
			OtherShortTermInvestments,"2,980,000,000","2,810,000,000","1,576,000,000","1,415,000,000","915,317,000","931,718,000","1,052,803,000","498,124,000","388,945,000","416,336,000","268,251,000","195,702,000","0","0"
		Receivables,"2,036,000,000","1,725,000,000","1,390,000,000","1,009,000,000","835,279,000","574,810,000","437,051,000","322,757,000","203,333,000","159,171,000","108,339,000","78,163,000","29,762,000","14,999,000"
			AccountsReceivable,"2,036,000,000","1,725,000,000","1,390,000,000","1,009,000,000","835,279,000","574,810,000","437,051,000","322,757,000","203,333,000","159,171,000","108,339,000","78,163,000","24,495,000","9,732,000"
				GrossAccountsReceivable,,,,"1,018,023,000","841,475,000","579,459,000","440,166,000","325,080,000","204,512,000","159,980,000","109,482,000","78,905,000",,
				AllowanceForDoubtfulAccountsReceivable,,,,"-8,608,000","-6,196,000","-4,649,000","-3,115,000","-2,323,000","-1,179,000","-809,000","-1,143,000","-742,000",,
			DuefromRelatedPartiesCurrent,,,,,,,,,,,,"0","5,267,000","5,267,000"
			OtherReceivables,,,,,,,,,,,,"6,317,000",,
		PrepaidAssets,,,"223,000,000","192,000,000","125,488,000","132,071,000","95,959,000","43,636,000","29,076,000","35,792,000","23,733,000","14,256,000","8,578,000","5,696,000"
		RestrictedCash,,,,,,,,,,,,"0","45,000","395,000"
		CurrentDeferredAssets,"461,000,000","369,000,000","303,000,000","229,000,000","175,039,000","139,890,000","109,643,000","76,780,000","51,976,000","43,232,000","31,123,000","14,979,000","3,922,000","2,267,000"
			CurrentDeferredTaxesAssets,,,,,,,,,,,,"660,000","0","0"
		OtherCurrentAssets,"403,000,000","280,000,000","223,000,000","192,000,000","125,488,000","132,071,000","95,959,000","43,636,000","29,076,000","35,792,000","23,733,000","14,256,000","3,311,000","429,000"
	TotalNonCurrentAssets,"9,610,000,000","6,645,000,000","5,578,000,000","4,193,000,000","3,195,529,000","1,534,447,000","1,128,294,000","691,232,000","721,417,000","517,766,000","370,727,000","56,025,000","11,853,000","3,877,000"
		NetPPE,"2,073,000,000","1,735,000,000","1,357,000,000","1,114,000,000","870,513,000","347,216,000","245,124,000","181,620,000","144,714,000","104,237,000","75,560,000","42,342,000","9,467,000","1,698,000"
			GrossPPE,"3,358,000,000","2,730,000,000","2,182,000,000","1,746,000,000","1,327,879,000","685,829,000","480,237,000","332,363,000","246,077,000","171,490,000","113,667,000","58,736,000","11,570,000","2,348,000"
				Properties,"0","0","0","0","0","0","0","0","0","0","0","0","0","0"
				BuildingsAndImprovements,,,,,"0","6,551,000","7,084,000","6,379,000","6,318,000","0",,,,
				MachineryFurnitureEquipment,"2,318,000,000","1,769,000,000","1,377,000,000","1,115,000,000","793,322,000","594,390,000","411,580,000","286,354,000","206,214,000","146,799,000","104,368,000","51,232,000","7,792,000","1,944,000"
				OtherProperties,"715,000,000","682,000,000","591,000,000","454,000,000","402,428,000",,,,,,,,,
				ConstructionInProgress,"33,000,000","53,000,000","14,000,000","9,000,000","6,830,000","10,167,000","5,341,000","2,535,000","1,886,000","9,762,000","928,000","4,855,000","1,031,000","298,000"
				Leases,"292,000,000","226,000,000","200,000,000","168,000,000","125,299,000","74,721,000","56,232,000","37,095,000","31,659,000","14,929,000","8,371,000","2,649,000","2,747,000","106,000"
			AccumulatedDepreciation,"-1,285,000,000","-995,000,000","-825,000,000","-632,000,000","-457,366,000","-338,613,000","-235,113,000","-150,743,000","-101,363,000","-67,253,000","-38,107,000","-16,394,000","-2,103,000","-650,000"
		GoodwillAndOtherIntangibleAssets,"1,455,000,000","1,056,000,000","1,064,000,000","394,000,000","300,606,000","249,427,000","215,644,000","148,388,000","98,674,000","109,542,000","14,520,000","596,000",,
			Goodwill,"1,231,000,000","824,000,000","777,000,000","241,000,000","156,756,000","148,845,000","128,728,000","82,534,000","55,669,000","55,016,000","8,724,000","0",,
			OtherIntangibleAssets,"224,000,000","232,000,000","287,000,000","153,000,000","143,850,000","100,582,000","86,916,000","65,854,000","43,005,000","54,526,000","5,796,000","596,000",,
		InvestmentsAndAdvances,"3,203,000,000","2,117,000,000","1,630,000,000","1,468,000,000","1,013,332,000","581,856,000","391,442,000","262,658,000","422,667,000","266,772,000","255,356,000","0",,
			InvestmentinFinancialAssets,"3,203,000,000","2,117,000,000","1,630,000,000","1,468,000,000","1,013,332,000","581,856,000","391,442,000","262,658,000","422,667,000","266,772,000","255,356,000","0",,
				AvailableForSaleSecurities,"3,203,000,000","2,117,000,000","1,630,000,000","1,468,000,000","1,013,332,000","581,856,000","391,442,000","262,658,000","422,667,000","266,772,000","255,356,000",,,
		NonCurrentDeferredAssets,"2,427,000,000","1,378,000,000","1,315,000,000","1,117,000,000","933,081,000","303,132,000","224,252,000","61,990,000","33,016,000","29,453,000","21,318,000","11,296,000","1,941,000","2,052,000"
			NonCurrentDeferredTaxesAssets,"1,508,000,000","636,000,000","692,000,000","673,000,000","599,633,000","20,642,000",,,,,,,,
		OtherNonCurrentAssets,"452,000,000","359,000,000","212,000,000","100,000,000","77,997,000","52,816,000","51,832,000","36,576,000","22,346,000","7,762,000","3,973,000","1,791,000","445,000","127,000"
TotalLiabilitiesNetMinorityInterest,"9,759,000,000","8,267,000,000","7,103,000,000","5,881,000,000","3,894,489,000","2,767,941,000","2,771,501,000","1,646,806,000","1,240,238,000","996,077,000","774,217,000","234,709,000","167,127,000","122,631,000"
	CurrentLiabilities,"7,365,000,000","6,005,000,000","4,949,000,000","3,737,000,000","2,752,785,000","2,012,573,000","2,039,479,000","1,071,498,000","731,636,000","506,997,000","328,088,000","211,627,000","87,986,000","45,694,000"
		PayablesAndAccruedExpenses,"899,000,000","873,000,000","634,000,000","464,000,000","321,968,000","223,861,000","188,126,000","124,811,000","79,573,000","53,682,000","33,914,000","22,544,000","14,360,000","11,414,000"
			Payables,"249,000,000","383,000,000","190,000,000","92,000,000","91,286,000","65,855,000","57,726,000","57,552,000","46,449,000","25,454,000","11,592,000","11,545,000","8,949,000","7,697,000"
				AccountsPayable,"126,000,000","274,000,000","89,000,000","34,000,000","52,960,000","30,733,000","32,109,000","38,080,000","37,369,000","17,829,000","7,405,000","9,604,000","2,098,000","1,570,000"
				TotalTaxPayable,"123,000,000","109,000,000","101,000,000","58,000,000","38,326,000","35,122,000","25,617,000","19,472,000","9,080,000","7,625,000","4,187,000","1,941,000","6,851,000","6,127,000"
			CurrentAccruedExpenses,"650,000,000","490,000,000","444,000,000","372,000,000","230,682,000","158,006,000","130,400,000","67,259,000","33,124,000","28,228,000","22,322,000","10,999,000","5,411,000","3,717,000"
		PensionandOtherPostRetirementBenefitPlansCurrent,"167,000,000","150,000,000","121,000,000","92,000,000","74,853,000","60,889,000","44,284,000","59,628,000","38,618,000","31,041,000","28,536,000","26,188,000","2,572,000","1,177,000"
		CurrentDebtAndCapitalLeaseObligation,"89,000,000","96,000,000","174,000,000","72,000,000","52,668,000",,"543,418,000",,,,,,,
			CurrentDebt,,,"92,000,000",,,,"543,418,000",,,,,,,
				CurrentNotesPayable,,"0","92,000,000","0",,,,,,,,,,
				OtherCurrentBorrowings,,,,,,,"543,418,000",,,,,,,
			CurrentCapitalLeaseObligation,"89,000,000","96,000,000","82,000,000","72,000,000","52,668,000","0",,,,,,,,
		CurrentDeferredLiabilities,"5,785,000,000","4,660,000,000","3,836,000,000","2,963,000,000","2,185,754,000","1,651,594,000","1,210,695,000","861,782,000","593,003,000","409,671,000","252,553,000","153,964,000","67,304,000","31,395,000"
			CurrentDeferredRevenue,"5,785,000,000","4,660,000,000","3,836,000,000","2,963,000,000","2,185,754,000","1,651,594,000","1,210,695,000","861,782,000","593,003,000","409,671,000","252,553,000","153,964,000","66,894,000","31,282,000"
		OtherCurrentLiabilities,"425,000,000","226,000,000","184,000,000","146,000,000","117,542,000","76,229,000","52,956,000","25,277,000","20,442,000","12,603,000","13,085,000","8,931,000","3,750,000","1,708,000"
	TotalNonCurrentLiabilitiesNetMinorityInterest,"2,394,000,000","2,262,000,000","2,154,000,000","2,144,000,000","1,141,704,000","755,368,000","732,022,000","575,308,000","508,602,000","489,080,000","446,129,000","23,082,000","79,141,000","76,937,000"
		LongTermDebtAndCapitalLeaseObligation,"2,195,000,000","2,136,000,000","2,040,000,000","2,063,000,000","1,078,202,000","661,707,000","630,018,000","507,812,000","474,534,000","443,437,000","414,777,000",,,
			LongTermDebt,"1,488,000,000","1,486,000,000","1,484,000,000","1,640,000,000","694,981,000","661,707,000","630,018,000","507,812,000","474,534,000","443,437,000","414,777,000",,,
			LongTermCapitalLeaseObligation,"707,000,000","650,000,000","556,000,000","423,000,000","383,221,000","0",,,,,,,,
		NonCurrentDeferredLiabilities,"81,000,000","70,000,000","63,000,000","45,000,000","40,038,000","38,597,000","36,120,000","33,319,000","10,751,000","12,567,000","14,169,000","16,397,000","10,884,000","9,698,000"
			NonCurrentDeferredRevenue,"81,000,000","70,000,000","63,000,000","45,000,000","40,038,000","38,597,000","36,120,000","33,319,000","10,751,000","12,567,000","14,169,000","16,397,000","7,752,000","9,449,000"
		PreferredSecuritiesOutsideStockEquity,,,,,,,,,,,,"0","67,860,000","67,227,000"
		OtherNonCurrentLiabilities,"118,000,000","56,000,000","51,000,000","36,000,000","23,464,000","55,064,000","65,884,000","34,177,000","23,317,000","33,076,000","17,183,000","6,685,000","397,000","12,000"
TotalEquityGrossMinorityInterest,"7,628,000,000","5,032,000,000","3,695,000,000","2,834,000,000","2,127,941,000","1,111,199,000","778,744,000","386,961,000","566,814,000","428,675,000","394,259,000","243,405,000","-58,381,000","-71,262,000"
	StockholdersEquity,"7,628,000,000","5,032,000,000","3,695,000,000","2,834,000,000","2,127,941,000","1,111,199,000","778,744,000","386,961,000","566,814,000","428,675,000","394,259,000","243,405,000","-58,381,000","-71,262,000"
		CapitalStock,"0","0","0","0","189,000","180,000","174,000","167,000","160,000","150,000","140,000","126,000","21,000","16,000"
			PreferredStock,"0","0","0","0","0","0","0","0","0","0","0","0",,
			CommonStock,"0","0","0","0","189,000","180,000","174,000","167,000","160,000","150,000","140,000","126,000","21,000","16,000"
		AdditionalPaidInCapital,"6,131,000,000","4,796,000,000","3,665,000,000","2,974,000,000","2,454,741,000","2,093,834,000","1,731,367,000","1,405,317,000","1,140,545,000","799,221,000","573,791,000","348,803,000","2,936,000","0"
		RetainedEarnings,"2,069,000,000","338,000,000","-4,000,000","-234,000,000","-352,244,000","-978,780,000","-958,564,000","-997,390,000","-557,009,000","-358,583,000","-179,196,000","-105,488,000","-61,456,000","-71,286,000"
		TreasuryStock,"535,000,000","0",,,,,,,,,,,,
		GainsLossesNotAffectingRetainedEarnings,"-37,000,000","-102,000,000","34,000,000","94,000,000","25,255,000","-4,035,000","5,767,000","-21,133,000","-16,882,000","-12,113,000","-476,000","-36,000","118,000","8,000"
			OtherEquityAdjustments,"-37,000,000","-102,000,000","34,000,000","94,000,000","25,255,000","-4,035,000","5,767,000","-21,133,000","-16,882,000","-12,113,000","-476,000","-36,000","118,000","8,000"
TotalCapitalization,"9,116,000,000","6,518,000,000","5,179,000,000","4,474,000,000","2,822,922,000","1,772,906,000","1,408,762,000","894,773,000","1,041,348,000","872,112,000","809,036,000","243,405,000","-58,381,000","-71,262,000"
CommonStockEquity,"7,628,000,000","5,032,000,000","3,695,000,000","2,834,000,000","2,127,941,000","1,111,199,000","778,744,000","386,961,000","566,814,000","428,675,000","394,259,000","243,405,000","-58,381,000","-71,262,000"
CapitalLeaseObligations,"796,000,000","746,000,000","638,000,000","495,000,000","435,889,000","0",,,,,,,,
NetTangibleAssets,"6,173,000,000","3,976,000,000","2,631,000,000","2,440,000,000","1,827,335,000","861,772,000","563,100,000","238,573,000","468,140,000","319,133,000","379,739,000","242,809,000","-58,381,000","-71,262,000"
WorkingCapital,"412,000,000","649,000,000","271,000,000","785,000,000","74,116,000","332,120,000","382,472,000","271,037,000","353,999,000","399,989,000","469,661,000","210,462,000","8,907,000","1,798,000"
InvestedCapital,"9,116,000,000","6,518,000,000","5,271,000,000","4,474,000,000","2,822,922,000","1,772,906,000","1,952,180,000","894,773,000","1,041,348,000","872,112,000","809,036,000","243,405,000","-58,381,000","-71,262,000"
TangibleBookValue,"6,173,000,000","3,976,000,000","2,631,000,000","2,440,000,000","1,827,335,000","861,772,000","563,100,000","238,573,000","468,140,000","319,133,000","379,739,000","242,809,000","-58,381,000","-71,262,000"
TotalDebt,"2,284,000,000","2,232,000,000","2,214,000,000","2,135,000,000","1,130,870,000","661,707,000","1,173,436,000","507,812,000","474,534,000","443,437,000","414,777,000",,,
NetDebt,,"16,000,000",,,,"95,503,000","446,941,000","106,574,000","62,229,000","190,982,000","48,474,000",,,
ShareIssued,"205,619,000","202,882,000","199,608,000","195,844,000","189,461,000","180,175,355","174,275,864","167,430,773","160,785,764","149,509,092","140,354,605","126,367,700","120,289,770","120,289,770"
OrdinarySharesNumber,"204,724,000","202,882,000","199,608,000","195,844,000","189,461,000","180,175,355","174,275,864","167,430,773","160,785,764","149,509,092","140,354,605","126,367,700","120,289,770","120,289,770"
TreasurySharesNumber,"895,000",,,,,,,,,,,,,